,Teaching Activities
0,NUR733 - Informatics Adv Prac Nurs (Summer Term 2021)  2021
1,NNI635 - Essentials Proj Mgt NI Special (Spring Term 2021)  2021
2,NUR733 - Informatics Adv Prac Nurs (Spring Term 2021)  2021
3,NUR409 - Healthcare and Informat Tech (Summer Term 2020)  2020
4,NUR733 - Informatics Adv Prac Nurs (Spring Term 2020)  2020
5,NNI635 - Essentials Proj Mgt NI Special (Fall Term 2019)  2019
6,NUR733 - Informatics Adv Prac Nurs (Summer Term 2019)  2019
7,NUR733 - Informatics Adv Prac Nurs (Spring Term 2019)  2019
8,NUR409 - Healthcare and Informat Tech (Fall Term 2018)  2018
9,NUR733 - Informatics Adv Prac Nurs (Fall Term 2018)  2018
10,NUR409 - Healthcare and Informat Tech (Summer Term 2018)  2018
11,NUR733 - Informatics Adv Prac Nurs (Summer Term 2018)  2018
12,NUR733 - Informatics Adv Prac Nurs (Spring Term 2018)  2018
13,NUR409 - Healthcare and Informat Tech (Fall Term 2017)  2017
14,NUR409 - Healthcare and Informat Tech (Summer Term 2017)  2017
15,NUR733 - Informatics Adv Prac Nurs (Summer Term 2017)  2017
16,NNI622 - Information System Life Cycle (Spring Term 2017)  2017
