,Year,Title,Altmetric
0,2020,GSK3β inhibition restores cortical gamma oscillation and cognitive behavior in a mouse model of NMDA receptor hypofunction relevant to schizophrenia. Neuropsychopharmacology. 45:2207-2218.  2020  10.1038/s41386-020-00819-0,
1,2020,The origin of NMDA receptor hypofunction in schizophrenia. Pharmacology and Therapeutics. 205.  2020  10.1016/j.pharmthera.2019.107426,
2,2019,Schizophrenia-like dopamine release abnormalities in a mouse model of NMDA receptor hypofunction. Schizophrenia Bulletin. 45:138-147.  2019  10.1093/schbul/sby003,
3,2018,AMPA Receptor Activation–Independent Antidepressant Actions of Ketamine Metabolite (S)-Norketamine. Biological Psychiatry. 84:591-600.  2018  10.1016/j.biopsych.2018.05.007,
4,2018,Neuropsychiatric Phenotypes Produced by GABA Reduction in Mouse Cortex and Hippocampus. Neuropsychopharmacology. 43:1445-1456.  2018  10.1038/npp.2017.296,
5,2017,Spatial and temporal boundaries of NMDA receptor hypofunction leading to schizophrenia. npj Schizophrenia. 3.  2017  10.1038/s41537-016-0003-3,
6,2017,Electrophysiological evidence for defective fast-spiking GABAergic neurones in a schizophrenia model  2017  10.1111/apha.12817,
7,2017,Erratum: Dentate Mossy Cell and Pattern Separation (Neuron (2017) 93(3) (465–467) (S0896627317300454) (10.1016/j.neuron.2017.01.021)). Neuron. 93:1236.  2017  10.1016/j.neuron.2017.02.024,
8,2017,Dentate Mossy Cell and Pattern Separation. Neuron. 93:465-467.  2017  10.1016/j.neuron.2017.01.021,
9,2017,Reduced ethanol drinking following selective cortical interneuron deletion of the GluN2B NMDA receptors subunit. Alcohol. 58:47-51.  2017  10.1016/j.alcohol.2016.07.005,
10,2015,Cortical GluN2B deletion attenuates punished suppression of food reward-seeking. Psychopharmacology. 232:3753-3761.  2015  10.1007/s00213-015-4033-8,
11,2015,NMDA receptor subunits and associated signaling molecules mediating antidepressant-related effects of NMDA-GluN2B antagonism. Behavioural Brain Research. 287:89-95.  2015  10.1016/j.bbr.2015.03.023,
12,2015,Impaired discrimination learning in interneuronal NMDAR-GluN2B mutant mice. NeuroReport. 26:489-494.  2015  10.1097/WNR.0000000000000373,
13,2014,Dysregulation of the axonal trafficking of nuclear-encoded mitochondrial mRNA alters neuronal mitochondrial activity and mouse behavior  2014  10.1002/dneu.22141,
14,2014,Brain state-dependent abnormal LFP activity in the auditory cortex of a schizophrenia mouse model. Frontiers in Neuroscience. 2014  10.3389/fnins.2014.00168,
15,2013,Identification of transcription factors for lineage-specific ESC differentiation. Stem Cell Reports. 1:545-559.  2013  10.1016/j.stemcr.2013.10.006,
16,2013,Convergence of genetic and environmental factors on parvalbumin-positive interneurons in schizophrenia. Frontiers in Behavioral Neuroscience. 2013  10.3389/fnbeh.2013.00116,
17,2013,GluN2B in corticostriatal circuits governs choice learning and choice shifting. Nature Neuroscience. 16:1101-1110.  2013  10.1038/nn.3457,
18,2013,Social isolation exacerbates schizophrenia-like phenotypes via oxidative stress in cortical interneurons. Biological Psychiatry. 73:1024-1034.  2013  10.1016/j.biopsych.2012.12.004,
19,2013,Contribution of NMDA Receptor Hypofunction in Prefrontal and Cortical Excitatory Neurons to Schizophrenia-Like Phenotypes. PLoS ONE. 8.  2013  10.1371/journal.pone.0061278,
20,2013,Hilar mossy cell circuitry controlling dentate granule cell excitability. Frontiers in Neural Circuits. 2013  10.3389/fncir.2013.00014,
21,2013,Preferential inactivation of SCN1A in parvalbumin interneurons increases seizure susceptibility. Neurobiology of Disease. 49:211-220.  2013  10.1016/j.nbd.2012.08.012,
22,2012,Hilar Mossy Cell Degeneration Causes Transient Dentate Granule Cell Hyperexcitability and Impaired Pattern Separation. Neuron. 76:1189-1200.  2012  10.1016/j.neuron.2012.10.036,
23,2012,Acute d-serine treatment produces antidepressant-like effects in rodents. International Journal of Neuropsychopharmacology. 15:1135-1148.  2012  10.1017/S1461145711001386,
24,2012,GABAergic interneuron origin of schizophrenia pathophysiology. Neuropharmacology. 62:1574-1583.  2012  10.1016/j.neuropharm.2011.01.022,
25,2011,Genetically engineered mice for schizophrenia research. Neuromethods. 59:231-242.  2011  10.1007/978-1-61779-157-4_10,
26,2011,Chronic stress-induced hippocampal dendritic retraction requires CA3 NMDA receptors. Neuroscience. 174:26-36.  2011  10.1016/j.neuroscience.2010.11.033,
27,2010,"Loss of GluN2B-containing NMD A receptors in CA1 hippocampus and cortex impairs long-term depression, reduces dendritic spine density, and disrupts learning  2010  10.1523/JNEUROSCI.0640-10.2010",
28,2010,eIF2α phosphorylation-dependent translation in CA1 pyramidal cells impairs hippocampal memory consolidation without affecting general translation  2010  10.1523/JNEUROSCI.3971-09.2010,
29,2010,Postnatal NMDA receptor ablation in corticolimbic interneurons confers schizophrenia-like phenotypes. Nature Neuroscience. 13:76-83.  2010  10.1038/nn.2447,
30,2009,Lack of kainic acid-induced gamma oscillations predicts subsequent CA1 excitotoxic cell death. European Journal of Neuroscience. 30:1036-1055.  2009  10.1111/j.1460-9568.2009.06896.x,
31,2009,Chemically inducible inactivation of protein synthesis in genetically targeted neurons  2009  10.1523/JNEUROSCI.1280-09.2009,
32,2008,Notch1 signaling in pyramidal neurons regulates synaptic connectivity and experience-dependent modifications of acuity in the visual cortex  2008  10.1523/JNEUROSCI.1348-08.2008,
33,2006,CA3 NMDA receptors are crucial for rapid and automatic representation of context memory. European Journal of Neuroscience. 24:1771-1780.  2006  10.1111/j.1460-9568.2006.05044.x,
34,2006,Inducible and Cell-Type Restricted Manipulation in the Entorhinal Cortex. Neuron. 50:183-185.  2006  10.1016/j.neuron.2006.04.007,
35,2006,Hippocampal CA3 NMDA receptors are crucial for adaptive timing of trace eyeblink conditioned response  2006  10.1523/JNEUROSCI.4142-05.2006,
36,2004,"NMDA receptors, place cells and hippocampal spatial memory. Nature Reviews Neuroscience. 5:361-372.  2004  10.1038/nrn1385",
37,2003,"Erratum: NMDA receptor-dependent ocular dominance plasticity in adult visual cortex (Neuron (June 19, 2003) 38 (977-985)). Neuron. 39:727.  2003  10.1016/S0896-6273(03)00475-6",
38,2003,NMDA receptor-dependent ocular dominance plasticity in adult visual cortex. Neuron. 38:977-985.  2003  10.1016/S0896-6273(03)00323-4,
39,2003,Genetic neuroscience of mammalian learning and memory  2003  10.1098/rstb.2002.1243,
40,2003,Hippocampal CA3 NMDA receptors are crucial for memory acquisition of one-time experience. Neuron. 38:305-315.  2003  10.1016/S0896-6273(03)00165-X,
41,2003,Essential function of α-calcium/calmodulin-dependent protein kinase II in neurotransmitter release at a glutamatergic central synapse  2003  10.1073/pnas.0530202100,
42,2002,Requirement for hippocampal CA3 NMDA receptors in associative memory recall. Science. 297:211-218.  2002  10.1126/science.1071795,
43,1997,Persistent phosphorylation parallels long-term desensitization of cerebellar purkinje cell AMPA-type glutamate receptors. Learning and Memory. 3:578-591.  1997  10.1101/lm.3.6.578,
44,1995,Antibody specific for phosphorylated AMPA-type glutamate receptors at GluR2 Ser-696. Neuroscience Research. 24:75-86.  1995  10.1016/0168-0102(95)00977-9,
45,1995,Immunohistochemical localization of protein phosphatase isoforms in the rat cerebellum. Neuroscience Research. 22:133-136.  1995  10.1016/0168-0102(95)00886-X,
46,1995,Transient and persistent phosphorylation of AMPA-type glutamate receptor subunits in cerebellar Purkinje cells. Neuron. 15:697-709.  1995  10.1016/0896-6273(95)90157-4,
