,Year,Title,Altmetric
0,2021,"PET Cardiac Imaging (Perfusion, Viability, Sarcoidosis, and Infection). Radiologic Clinics of North America. 59:835-852.  2021  10.1016/j.rcl.2021.05.009",
1,2021,Regional impact of updated guidelines on prevalence and distribution of blood pressure categories for hypertension in India: Results from the National Family Health Survey 4. Indian Heart Journal. 73:481-486.  2021  10.1016/j.ihj.2021.06.004,
2,2021,Relative Predictive Value of Circulating Immune Markers in US Adults Without Cardiovascular Disease: Implications for Risk Reclassification. Mayo Clinic Proceedings. 96:1812-1821.  2021  10.1016/j.mayocp.2020.11.027,
3,2021,Feasibility of somatostatin receptor-targeted imaging for detection of myocardial inflammation: A pilot study. Journal of Nuclear Cardiology. 28:1089-1099.  2021  10.1007/s12350-019-01782-0,
4,2021,Review of Published Cases of Syncope and Sudden Death in Patients With Severe Aortic Stenosis Documented by Electrocardiography. American Journal of Cardiology. 148:124-129.  2021  10.1016/j.amjcard.2021.02.023,
5,2021,"Coronary microvascular dysfunction, left ventricular remodeling, and clinical outcomes in aortic stenosis. Journal of Nuclear Cardiology. 28:579-588.  2021  10.1007/s12350-019-01706-y",
6,2021,Myocardial perfusion artifacts in left bundle branch block: A diagnostic challenge. Journal of Nuclear Cardiology. 28:543-545.  2021  10.1007/s12350-019-01717-9,
7,2021,The role of multimodality imaging in HIV-related heart disease. Journal of Nuclear Cardiology. 28:531-535.  2021  10.1007/s12350-020-02291-1,
8,2021,Association of Myocardial Blood Flow Reserve with Adverse Left Ventricular Remodeling in Patients with Aortic Stenosis: The Microvascular Disease in Aortic Stenosis (MIDAS) Study. JAMA Cardiology. 2021  10.1001/jamacardio.2021.3396,
9,2021,Cardiopulmonary transit time: A novel PET imaging biomarker of in vivo physiology for risk stratification of heart transplant recipients. Journal of Nuclear Cardiology. 2021  10.1007/s12350-020-02465-x,
10,2020,Meta-Analysis Comparing Direct Oral Anticoagulants to Low Molecular Weight Heparin for Treatment of Venous Thromboembolism in Patients With Cancer. American Journal of Cardiology. 133:175-178.  2020  10.1016/j.amjcard.2020.07.027,
11,2020,Measurement of blood flow in myocardial layers: A step toward comprehensive physiological evaluation. Journal of Nuclear Cardiology. 27:1675-1678.  2020  10.1007/s12350-018-01533-7,
12,2020,Using antimatter to uncover what matters: metformin effects on myocardial efficiency in heart failure. European Journal of Heart Failure. 22:1638-1640.  2020  10.1002/ejhf.1856,
13,2020,Cardiac Function and Sudden Cardiac Death in Heart Failure With Preserved Ejection Fraction (from the TOPCAT Trial). American Journal of Cardiology. 129:46-52.  2020  10.1016/j.amjcard.2020.04.038,
14,2020,Leucocyte count predicts cardiovascular risk in heart failure with preserved ejection fraction: insights from TOPCAT Americas. ESC Heart Failure. 7:1676-1687.  2020  10.1002/ehf2.12724,
15,2020,Hypertensive coronary microvascular dysfunction: A subclinical marker of end organ damage and heart failure. European Heart Journal. 41:2366-2375.  2020  10.1093/eurheartj/ehaa191,
16,2020,Effect of immunomodulation on cardiac remodelling and outcomes in heart failure: a quantitative synthesis of the literature. ESC Heart Failure. 7:1319-1330.  2020  10.1002/ehf2.12681,
17,2020,"Anemia, Mortality, and Hospitalizations in Heart Failure With a Preserved Ejection Fraction (from the TOPCAT Trial). American Journal of Cardiology. 125:1347-1354.  2020  10.1016/j.amjcard.2020.01.046",
18,2020,Management of reproductive health in patients with pulmonary hypertension  2020  10.1016/j.ajogmf.2020.100087,
19,2020,Complete versus culprit-vessel only revascularization in STEMI: An updated meta-analysis of randomized control trials☆. International Journal of Cardiology: Heart and Vasculature. 27.  2020  10.1016/j.ijcha.2020.100481,
20,2020,FDG-PET/CT diagnosis of aortitis and pseudoaneurysms. Journal of Nuclear Cardiology. 27:362-365.  2020  10.1007/s12350-020-02085-5,
21,2020,The Cost and Length of Stay Associated with Biventricular Assist Devices in the United States (2009-2015)  2020  10.1016/j.healun.2020.01.142,
22,2020,Angiotensin-neprilysin inhibition in heart failure with preserved ejection fraction. New England Journal of Medicine. 382:1180-1183.  2020  10.1056/NEJMc2000284,
23,2020,Cases from a busy nuclear cardiology laboratory. Journal of Nuclear Cardiology. 27:305-314.  2020  10.1007/s12350-019-01985-5,
24,2020,Reduced Left Atrial Emptying Fraction and Chymase Activation in Pathophysiology of Primary Mitral Regurgitation. JACC: Basic to Translational Science. 5:109-122.  2020  10.1016/j.jacbts.2019.11.006,
25,2020,Marijuana Use in Patients With Cardiovascular Disease: JACC Review Topic of the Week. Journal of the American College of Cardiology. 75:320-332.  2020  10.1016/j.jacc.2019.11.025,
26,2020,Assessment of Heterogeneity in Heart Failure-Related Meta-Analyses. Circulation: Heart Failure. 655-659.  2020  10.1161/CIRCHEARTFAILURE.120.007070,
27,2020,"Coronary Microvascular Dysfunction, Left Ventricular Remodeling, and Clinical Outcomes in Patients with Chronic Kidney Impairment. Circulation. 21-33.  2020  10.1161/CIRCULATIONAHA.119.043916",
28,2020,Hypochloremia is a noninvasive predictor of mortality in pulmonary arterial hypertension  2020  10.1161/JAHA.119.015221,
29,2020,Papillary muscle ischemia and myocardial blood flow on N13-ammonia positron emission tomography myocardial perfusion imaging. Journal of Nuclear Cardiology. 2020  10.1007/s12350-020-02336-5,
30,2019,Effect of a Community Health Worker-Based Approach to Integrated Cardiovascular Risk Factor Control in India: A Cluster Randomized Controlled Trial. Global Heart. 14:355-365.  2019  10.1016/j.gheart.2019.08.003,
31,2019,"Gregory S. Thomas, L. Samuel Wann, and Myrvin H. Ellestad (eds.) Ellestad's stress testing: Principles and practice; 6th Edition : Oxford University Press, Dec 12, 2018, 608 pp., ISBN-10: 0190225483, ISBN-13: 978-0190225483, hardcover $160. Journal of Nuclear Cardiology. 26:2060-2064.  2019  10.1007/s12350-019-01861-2",
32,2019,Myocardial blood flow measures using cardiac positron emission tomography: Software comparisons. Journal of Nuclear Cardiology. 26:2013-2017.  2019  10.1007/s12350-018-01525-7,
33,2019,Use of echocardiography as an essential tool for targeted transcatheter biopsy of cardiac masses  2019  10.1111/echo.14512,
34,2019,Does dual vs. triple antithrombotic therapy after percutaneous coronary intervention in patients with atrial fibrillation lower the risk of bleeding at the cost of increased risk of ischemic events?. International Journal of Cardiology: Heart and Vasculature. 24.  2019  10.1016/j.ijcha.2019.100404,
35,2019,Efficacy of Neurohormonal Therapies in Preventing Cardiotoxicity in Patients With Cancer Undergoing Chemotherapy  2019  10.1016/j.jaccao.2019.08.006,
36,2019,Role of left ventricle deformation analysis in stress echocardiography for significant coronary artery disease detection: A diagnostic study meta-analysis  2019  10.1111/echo.14365,
37,2019,Association between nonalcoholic fatty liver disease at CT and coronary microvascular dysfunction at myocardial perfusion PET/CT. Radiology. 291:330-337.  2019  10.1148/radiol.2019181793,
38,2019,Cardiovascular Events and Hospital Deaths Among Patients With Severe Sepsis. American Journal of Cardiology. 123:1406-1413.  2019  10.1016/j.amjcard.2019.01.038,
39,2019,In Response. Anesthesia and Analgesia. 128:e82-e83.  2019  10.1213/ANE.0000000000004116,
40,2019,Incidence of atrioventricular block with vasodilator stress SPECT: A meta-analysis. Journal of Nuclear Cardiology. 26:616-628.  2019  10.1007/s12350-017-1081-y,
41,2019,Extended prophylaxis for venous thromboembolism after hospitalization for medical illness: A trial sequential and cumulative meta-analysis. PLoS Medicine. 16.  2019  10.1371/journal.pmed.1002797,
42,2019,Organ donation and drug intoxication-related deaths in the United States. New England Journal of Medicine. 380:597-599.  2019  10.1056/NEJMc1810758,
43,2019,In-Hospital Management and Outcomes After ST-Segment-Elevation Myocardial Infarction in Medicaid Beneficiaries Compared With Privately Insured Individuals. Circulation: Cardiovascular Quality and Outcomes. 12:e004971.  2019  10.1161/CIRCOUTCOMES.118.004971,
44,2019,SPECT-derived absolute myocardial perfusion measures: A step in the right direction. Journal of Nuclear Cardiology. 2019  10.1007/s12350-019-01972-w,
45,2018,Pectus Excavatum and Right Ventricular Compression in a Young Athlete with Syncope. American Journal of Medicine. 131:e451-e453.  2018  10.1016/j.amjmed.2018.07.033,
46,2018,Incidence and in-hospital outcomes of single-vessel coronary chronic total occlusion treated with percutaneous coronary intervention. International Journal of Cardiology. 269:61-66.  2018  10.1016/j.ijcard.2018.07.075,
47,2018,Meta-analyses: How to critically appraise them?. Journal of Nuclear Cardiology. 25:1598-1600.  2018  10.1007/s12350-017-0898-8,
48,2018,Myocardial Scar But Not Ischemia Is Associated With Defibrillator Shocks and Sudden Cardiac Death in Stable Patients With Reduced Left Ventricular Ejection Fraction. JACC: Clinical Electrophysiology. 4:1200-1210.  2018  10.1016/j.jacep.2018.06.002,
49,2018,Coronary Microvascular Dysfunction and Cardiovascular Risk in Obese Patients. Journal of the American College of Cardiology. 72:707-717.  2018  10.1016/j.jacc.2018.05.049,
50,2018,The Reply. American Journal of Medicine. 131:e263.  2018  10.1016/j.amjmed.2018.01.044,
51,2018,The Reply. American Journal of Medicine. 131:e267-e268.  2018  10.1016/j.amjmed.2017.12.043,
52,2018,Patent Foramen Ovale Closure for Secondary Prevention of Cryptogenic Stroke: Updated Meta-Analysis of Randomized Clinical Trials. American Journal of Medicine. 131:575-577.  2018  10.1016/j.amjmed.2017.11.027,
53,2018,Trends and Cost of Heart Transplantation and Left Ventricular Assist Devices: Impact of Proposed Federal Cuts. JACC: Heart Failure. 6:424-432.  2018  10.1016/j.jchf.2018.03.005,
54,2018,"Impact of Left Ventricular Trabeculations and Papillary Muscles on Mass, Geometry, and Association With Incident Adverse Cardiovascular Events: The Framingham Heart Study. JACC: Cardiovascular Imaging. 11:653-654.  2018  10.1016/j.jcmg.2017.07.019",
55,2018,Influence of ejection fraction on cause-specific mortality in heart failure with preserved ejection fraction. European Journal of Heart Failure. 20:815-816.  2018  10.1002/ejhf.1040,
56,2018,Neurological effects of proprotein convertase subtilisin/kexin type 9 inhibitors: Direct comparisons. European Heart Journal - Quality of Care and Clinical Outcomes. 4:132-141.  2018  10.1093/ehjqcco/qcx037,
57,2018,Costs of Transcatheter Aortic Valve Replacement: Implications of Proposed Medicare Cuts. JACC: Cardiovascular Interventions. 11:610-612.  2018  10.1016/j.jcin.2018.01.234,
58,2018,Effect of NT-proBNP–Guided Therapy on All-Cause Mortality in Chronic Heart Failure With Reduced Ejection Fraction. Journal of the American College of Cardiology. 71:951-952.  2018  10.1016/j.jacc.2017.11.070,
59,2018,FFR-guided multivessel stenting reduces urgent revascularization compared with infarct-related artery only stenting in ST-elevation myocardial infarction: A meta-analysis of randomized controlled trials. International Journal of Cardiology. 252:63-67.  2018  10.1016/j.ijcard.2017.07.041,
60,2018,Galectin-3: an emerging biomarker in stroke and cerebrovascular diseases. European Journal of Neurology. 25:238-246.  2018  10.1111/ene.13496,
61,2018,"Regadenoson use for stress myocardial perfusion imaging in advance chronic kidney disease and dialysis: Safe, effective, and efficient. Journal of Nuclear Cardiology. 25:150-152.  2018  10.1007/s12350-017-1038-1",
62,2018,"Hospitalization rates, prevalence of cardiovascular manifestations, and outcomes associated with sarcoidosis in the United States  2018  10.1161/JAHA.117.007844",
63,2018,Racial differences in plasma levels of n-Terminal pro-b-Type natriuretic peptide and outcomes the reasons for geographic and racial differences in stroke (regards) study. JAMA Cardiology. 3:11-17.  2018  10.1001/jamacardio.2017.4207,
64,2018,Targeted temperature management after cardiac arrest: Systematic review and meta-analyses. Anesthesia and Analgesia. 126:867-875.  2018  10.1213/ANE.0000000000002646,
65,2017,Integrated Noninvasive Physiological Assessment of Coronary Circulatory Function and Impact on Cardiovascular Mortality in Patients With Stable Coronary Artery Disease. Circulation. 136:2325-2336.  2017  10.1161/CIRCULATIONAHA.117.029992,
66,2017,Coronary Microvascular Dysfunction Identifies Patients at High Risk of Adverse Events Across Cardiometabolic Diseases. Journal of the American College of Cardiology. 70:2835-2837.  2017  10.1016/j.jacc.2017.09.1104,
67,2017,Reducing radiation exposure from nuclear myocardial perfusion imaging: Time to act is now. Journal of Nuclear Cardiology. 24:1856-1859.  2017  10.1007/s12350-017-0915-y,
68,2017,Transcatheter pulmonary valve implantation: A comprehensive systematic review and meta-analyses of observational studies  2017  10.1161/JAHA.117.006432,
69,2017,Percutaneous coronary intervention vs. coronary artery bypass grafting for left main revascularization: An updated meta-analysis. European Heart Journal - Quality of Care and Clinical Outcomes. 3:173-182.  2017  10.1093/ehjqcco/qcx008,
70,2017,"Response by Golwala et al to Letter Regarding Article, ""implantable Cardioverter-Defibrillator for Nonischemic Cardiomyopathy: An Updated Meta-Analysis"". Circulation. 135:e1200-e1202.  2017  10.1161/CIRCULATIONAHA.117.028200",
71,2017,Conducting and interpreting high-quality systematic reviews and meta-analyses. Journal of Nuclear Cardiology. 24:471-481.  2017  10.1007/s12350-016-0598-9,
72,2017,Surgical Embolectomy for Acute Pulmonary Embolism: Systematic Review and Comprehensive Meta-Analyses. Annals of Thoracic Surgery. 103:982-990.  2017  10.1016/j.athoracsur.2016.11.016,
73,2017,Implantable Cardioverter-Defibrillator for Nonischemic Cardiomyopathy: An Updated Meta-Analysis. Circulation. 135:201-203.  2017  10.1161/CIRCULATIONAHA.116.026056,
74,2016,Catheter-directed treatment for acute pulmonary embolism: Systematic review and single-arm meta-analyses. International Journal of Cardiology. 225:128-139.  2016  10.1016/j.ijcard.2016.09.036,
