,Teaching Activities
0,DENT4285 - Digital Comp Dentures D4 Elec (Spring Term 2020)  2020
1,DENT4285 - Digital Comp Dentures D4 Elec (Spring Term 2019)  2019
2,DENT2170 - PCD: Fixed Prosthodontics (Fall Term 2015)  2014 - 2015
3,DENT2170 - PCD: Fixed Prosthodontics (Fall Term 2014)  2014
4,DENT2170 - PCD: Fixed Prosthodontics (Fall Term 2013)  2013
5,DENT3530 - Fixed Pros Clinic D3 (Spring Term 2013)  2013
6,DENT4530 - Fixed Prosthodontics Clinic D4 (Spring Term 2013)  2013
7,DENT3530 - Fixed Pros Clinic D3 (Fall Term 2012)  2012
8,DENT3530R - Remed Fixed Pros Clinic D3 (Fall Term 2012)  2012
9,DENT4530 - Fixed Prosthodontics Clinic D4 (Fall Term 2012)  2012
10,DENT4530I - Fixed Prosth Clinic D4I (Fall Term 2012)  2012
11,DENT3530 - Fixed Pros Clinic D3 (Spring Term 2012)  2012
12,DENT4530 - Fixed Prosthodontics Clinic D4 (Spring Term 2012)  2012
13,DENT3530 - Fixed Pros Clinic D3 (Fall Term 2011)  2011
14,DENT4530 - Fixed Prosthodontics Clinic D4 (Fall Term 2011)  2011
15,DENT4530I - Fixed Prosth Clinic D4I (Fall Term 2011)  2011
16,DENT2170 - PCD: Fixed Prosthodontics (Fall Term 2011)  2011
17,DENT2199 - Intro to PCD-IDP (Fall Term 2009)  2009
18,DENT2444 - Remed Pre Rem Pros Comp Dent (Fall Term 2009)  2009
19,DENT2241 - Partial Prosthodontics Fixed (Spring Term 2009)  2009
20,DENT2242 - Preclinical Partial Pros Fixed (Spring Term 2009)  2009
21,DENT2243 - Removable Pros Comp Dentures (Spring Term 2009)  2009
22,DENT2244 - Preclinic Rem Pros Com Denture (Spring Term 2009)  2009
23,DENT2330 - Rest of Endo Treated Teeth (Spring Term 2009)  2009
24,DENT2137 - Partial Prosthodontics Fixed (Fall Term 2008)  2008
25,DENT2138 - Preclinical Partial Pros Fixed (Fall Term 2008)  2008
26,DENT1338 - Partial Prosth-Fixed (Spring Term 2008)  2008
27,DENT1339 - Preclinical Partial Pros Fixed (Spring Term 2008)  2008
28,DENT2330 - Rest of Endo Treated Teeth (Spring Term 2008)  2008
29,DENT2355 - Preclin Rem Pros-Comp Dentures (Spring Term 2008)  2008
30,DENT2357 - Remov Pros-Comp Dentures (Spring Term 2008)  2008
31,DENT2241 - Partial Prosthodontics Fixed (Winter Term 2008)  2007 - 2008
32,DENT2242 - Preclinical Partial Pros Fixed (Winter Term 2008)  2007 - 2008
33,DENT2243 - Removable Pros Comp Dentures (Winter Term 2008)  2007 - 2008
34,DENT2244 - Preclinic Rem Pros Com Denture (Winter Term 2008)  2007 - 2008
35,DENT2137 - Partial Prosthodontics Fixed (Fall Term 2007)  2007
36,DENT2138 - Preclinical Partial Pros Fixed (Fall Term 2007)  2007
