,Teaching Activities
0,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2021)  2021
1,NUR729 - EBP Design and Translation (Summer Term 2021)  2021
2,NUR737 - Interprof Ldrship Role Dev (Summer Term 2021)  2021
3,NUR606 - Translating Evidence into Prac (Spring Term 2021)  2021
4,NUR737 - Interprof Ldrship Role Dev (Fall Term 2020)  2020
5,NUR606 - Translating Evidence into Prac (Spring Term 2020)  2020
6,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2020)  2020
7,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2019)  2019
8,NUR606 - Translating Evidence into Prac (Fall Term 2019)  2019
9,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2019)  2019
10,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2019)  2019
11,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2018)  2018
12,NUR606 - Translating Evidence into Prac (Spring Term 2018)  2018
13,NUR606 - Translating Evidence into Prac (Fall Term 2017)  2017
14,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2017)  2017
15,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2017)  2017
16,NUR490 - Independent Study in Nursing (Spring Term 2017)  2017
17,NUR606 - Translating Evidence into Prac (Spring Term 2017)  2017
18,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2016)  2016
19,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2016)  2016
20,NUR606 - Translating Evidence into Prac (Spring Term 2016)  2016
21,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2016)  2016
22,NUR606 - Translating Evidence into Prac (Fall Term 2015)  2015
23,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2015)  2015
24,NUR606 - Translating Evidence into Prac (Spring Term 2015)  2015
