,Teaching Activities
0,NUR612 - Advanced Pathophysiology (Summer Term 2021)  2021
1,NUR613 - Pharmacology and Therapeutics (Spring Term 2021)  2021
2,NUR612 - Advanced Pathophysiology (Fall Term 2020)  2020
3,NUR612 - Advanced Pathophysiology (Fall Term 2020)  2020
4,NUR612 - Advanced Pathophysiology (Summer Term 2020)  2020
5,NUR613 - Pharmacology and Therapeutics (Spring Term 2020)  2020
6,NUR612 - Advanced Pathophysiology (Fall Term 2019)  2019
7,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2019)  2019
8,NUR612 - Advanced Pathophysiology (Summer Term 2019)  2019
9,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2019)  2019
10,NUR612 - Advanced Pathophysiology (Fall Term 2018)  2018
11,NUR612 - Advanced Pathophysiology (Fall Term 2018)  2018
12,NUR612 - Advanced Pathophysiology (Summer Term 2018)  2018
13,NUR612 - Advanced Pathophysiology (Summer Term 2018)  2018
14,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2018)  2018
15,NUR612 - Advanced Pathophysiology (Fall Term 2017)  2017
16,NUR612 - Advanced Pathophysiology (Fall Term 2017)  2017
17,NUR612 - Advanced Pathophysiology (Summer Term 2017)  2017
18,NUR612 - Advanced Pathophysiology (Summer Term 2017)  2017
19,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2017)  2017
20,NUR612 - Advanced Pathophysiology (Fall Term 2016)  2016
21,NUR612 - Advanced Pathophysiology (Fall Term 2016)  2016
22,NUR612 - Advanced Pathophysiology (Summer Term 2016)  2016
23,NUR612 - Advanced Pathophysiology (Summer Term 2016)  2016
24,NUR612 - Advanced Pathophysiology (Fall Term 2015)  2015
25,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2015)  2015
26,NUR612 - Advanced Pathophysiology (Fall Term 2014)  2014
