,Year,Title,Altmetric
0,2018,Cryptic sequence features in the active postmortem transcriptome 06 Biological Sciences 0604 Genetics. BMC Genomics. 19.  2018  10.1186/s12864-018-5042-x,
1,2018,Amplicon sequencing reveals microbiological signatures in spent nuclear fuel storage basins. Frontiers in Microbiology. 9.  2018  10.3389/fmicb.2018.00377,
2,2017,"Gene expression in the twilight of death: The increase of thousands of transcripts has implications to transplantation, cancer, and forensic research. BioEssays. 39.  2017  10.1002/bies.201700066",
3,2017,Accurate predictions of postmortem interval using linear regression analyses of gene meter expression data. Forensic Science International. 275:90-101.  2017  10.1016/j.forsciint.2017.02.027,
4,2017,"Datasets used to discover the microbial signatures of oral dysbiosis, periodontitis and edentulism in humans. Data in Brief. 10:30-32.  2017  10.1016/j.dib.2016.11.051",
5,2017,Gene Meter: Accurate abundance calculations of gene expression. Communicative and Integrative Biology. 10.  2017  10.1080/19420889.2017.1329785,
6,2017,The postmortem microbiome and gene expression in vertebrates. Biochemist. 39:14-17.  2017  10.1042/bio03902014,
7,2017,Tracing the dynamics of gene transcripts after organismal death. Open Biology. 7.  2017  10.1098/rsob.160267,
8,2016,"Microbial signatures of oral dysbiosis, periodontitis and edentulism revealed by Gene Meter methodology. Journal of Microbiological Methods. 131:85-101.  2016  10.1016/j.mimet.2016.09.019",
9,2016,"Microbial Signatures of Oral Dysbiosis, Periodontitis and Edentulism Revealed by Gene Meter Methodology  2016  10.1101/070367",
10,2016,A survey of biofilms on wastewater aeration diffusers suggests bacterial community composition and function vary by substrate type and time. Applied Microbiology and Biotechnology. 100:6361-6373.  2016  10.1007/s00253-016-7604-7,
11,2016,Accurate Predictions of Postmortem Interval Using Linear Regression Analyses of Gene Meter Expression Data  2016  10.1101/058370,
12,2016,Thanatotranscriptome: genes actively expressed after organismal death  2016  10.1101/058305,
13,2016,Discovery of bioactive metabolites in biofuel microalgae that offer protection against predatory bacteria. Frontiers in Microbiology. 7.  2016  10.3389/fmicb.2016.00516,
14,2015,"Towards microbiome transplant as a therapy for periodontitis: An exploratory study of periodontitis microbial signature contrasted by oral health, caries and edentulism. BMC Oral Health. 15.  2015  10.1186/s12903-015-0109-4",
15,2015,Interruption of electrical conductivity of titanium dental implants suggests a path towards elimination of corrosion. PLoS ONE. 10.  2015  10.1371/journal.pone.0140393,
16,2014,A revised design for microarray experiments to account for experimental noise and uncertainty of probe response. PLoS ONE. 9.  2014  10.1371/journal.pone.0091295,
17,2014,Distinctive thanatomicrobiome signatures found in the blood and internal organs of humans. Journal of Microbiological Methods. 106:1-7.  2014  10.1016/j.mimet.2014.07.026,
