,Teaching Activities
0,NCC692L - ClinPracIII:Adv Ped Nur AC Res (Summer Term 2021)  2021
1,NDP692L - Residency: Dual Option PNP (Spring Term 2021)  2021
2,NCC686L - Cln Pr II Adv Ped Nur Acute Cr (Fall Term 2020)  2020
3,NDP692L - Residency: Dual Option PNP (Spring Term 2020)  2020
4,NCC686L - Cln Pr II Adv Ped Nur Acute Cr (Fall Term 2019)  2019
5,NCC685L - Clin Pr I Adv Ped Nur Acute Cr (Summer Term 2019)  2019
6,NDP692L - Residency: Dual Option PNP (Spring Term 2019)  2019
7,NCC686L - Cln Pr II Adv Ped Nur Acute Cr (Fall Term 2018)  2018
8,NCC685L - Clin Pr I Adv Ped Nur Acute Cr (Summer Term 2018)  2018
9,NDP692L - Residency: Dual Option PNP (Spring Term 2018)  2018
10,NCC686L - Cln Pr II Adv Ped Nur Acute Cr (Fall Term 2017)  2017
11,NDP692L - Residency: Dual Option PNP (Spring Term 2017)  2017
12,NCC686L - Cln Pr II Adv Ped Nur Acute Cr (Fall Term 2016)  2016
13,NCC685L - Clin Pr I Adv Ped Nur Acute Cr (Summer Term 2016)  2016
14,NDP688L - Dual Opt Pediatric NP Prac III (Fall Term 2015)  2015
15,NDP687L - Dual Option Ped NP Pract III (Summer Term 2015)  2015
16,NCC686L - Cln Pr II Adv Ped Nur Acute Cr (Spring Term 2015)  2015
