,Teaching Activities
0,NFH692L - Residency: Family Nurs Pract (Summer Term 2021)  2021
1,NFH692L - Residency: Family Nurs Pract (Summer Term 2021)  2021
2,NFH686L - Pract II: Family Nurse Pract (Spring Term 2021)  2021
3,NFH685L - Pract I: Family Nurse Pract (Fall Term 2020)  2020
4,NFH692L - Residency: Family Nurs Pract (Summer Term 2020)  2020
5,NFH686L - Pract II: Family Nurse Pract (Spring Term 2020)  2020
6,NFH685L - Pract I: Family Nurse Pract (Fall Term 2019)  2019
7,NFH692L - Residency: Family Nurs Pract (Summer Term 2019)  2019
8,NFH686L - Pract II: Family Nurse Pract (Spring Term 2019)  2019
9,NFH685L - Pract I: Family Nurse Pract (Fall Term 2018)  2018
10,NFH692L - Residency: Family Nurs Pract (Summer Term 2018)  2018
11,NFH686L - Pract II: Family Nurse Pract (Spring Term 2018)  2018
12,NFH685L - Pract I: Family Nurse Pract (Fall Term 2017)  2017
13,NFH692L - Residency: Family Nurs Pract (Summer Term 2017)  2017
14,NFH686L - Pract II: Family Nurse Pract (Spring Term 2017)  2017
15,NFH685L - Pract I: Family Nurse Pract (Fall Term 2016)  2016
16,NFH692L - Residency: Family Nurs Pract (Summer Term 2016)  2016
17,NUR004 - UAB Hospital Orientation (Summer Term 2016)  2016
18,NFH686L - Pract II: Family Nurse Pract (Spring Term 2016)  2016
19,NFH685L - Pract I: Family Nurse Pract (Fall Term 2015)  2015
