,Teaching Activities
0,STP2045 - CULTURAL COMPETENCE ISSUES IN HEALTHCARE (Spring Term 2021)  2021
1,STP2045 - CULTURAL COMPETENCE ISSUES IN HEALTHCARE (Fall Term 2020)  2020
2,STP2045 - CULTURAL COMPETENCE ISSUES IN HEALTHCARE (Fall Term 2019)  2019
3,STP2045 - CULTURAL COMPETENCE ISSUES IN HEALTHCARE (Fall Term 2018)  2018
4,06-422T - EFFECTIVE CROSS-CULTURAL COMMUNICATION IN CLINICAL SETTINGS (Fall Term 2016)  2016
5,STP2045 - CULTURAL COMPETENCE ISSUES IN HEALTHCARE (Fall Term 2016)  2016
6,06-422T - EFFECTIVE CROSS-CULTURAL COMMUNICATION IN CLINICAL SETTINGS (Fall Term 2015)  2015
7,03-302 - RURAL MEDICINE CLERKSHIP (Fall Term 2012)  2012
8,03-302 - RURAL MEDICINE CLERKSHIP (Spring Term 2012)  2012
9,03-302 - RURAL MEDICINE CLERKSHIP (Spring Term 2012)  2012
10,03-302 - RURAL MEDICINE CLERKSHIP (Spring Term 2012)  2012
11,03-302 - RURAL MEDICINE CLERKSHIP (Fall Term 2011)  2011
12,03-302 - RURAL MEDICINE CLERKSHIP (Fall Term 2011)  2011
13,03-302 - RURAL MEDICINE CLERKSHIP (Fall Term 2011)  2011
14,03-302 - RURAL MEDICINE CLERKSHIP (Spring Term 2011)  2011
