,Teaching Activities
0,NFH692L - Residency: Family Nurs Pract (Summer Term 2021)  2021
1,NFH692L - Residency: Family Nurs Pract (Summer Term 2021)  2021
2,NFH686L - Pract II: Family Nurse Pract (Spring Term 2021)  2021
3,NFH686L - Pract II: Family Nurse Pract (Spring Term 2021)  2021
4,NFH685L - Pract I: Family Nurse Pract (Fall Term 2020)  2020
5,NFH685L - Pract I: Family Nurse Pract (Fall Term 2020)  2020
6,NFH692L - Residency: Family Nurs Pract (Summer Term 2020)  2020
7,NFH686L - Pract II: Family Nurse Pract (Spring Term 2020)  2020
8,NFH686L - Pract II: Family Nurse Pract (Spring Term 2020)  2020
9,NFH685L - Pract I: Family Nurse Pract (Fall Term 2019)  2019
10,NFH685L - Pract I: Family Nurse Pract (Fall Term 2019)  2019
11,NFH692L - Residency: Family Nurs Pract (Summer Term 2019)  2019
12,NFH686L - Pract II: Family Nurse Pract (Spring Term 2019)  2019
13,NFH685L - Pract I: Family Nurse Pract (Fall Term 2018)  2018
