,Year,Title,Altmetric
0,2014,Pediatric psychopharmacology and local anesthesia: Potential adverse drug reactions with vasoconstrictor use in dental practice. Pediatric Dentistry. 36:18-23.  2014,
1,2013,"Review and recommendations for the prevention, management, and treatment of postoperative and postdischarge nausea and vomiting. Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology. 115:601-611.  2013  10.1016/j.oooo.2012.09.088",
2,2007,Drug interactions important for periodontal therapy. Periodontology 2000. 44:15-28.  2007  10.1111/j.1600-0757.2006.00195.x,
3,2005,Therapeutic drug management of lithium. American Journal of Pharmaceutical Education. 69.  2005,
4,1998,Tramadol-warfarin interaction  1998,
5,1995,DRUG ASSESSMENT SURVEY OF AMBULATORY GERIATRIC DENTAL PATIENTS. Journal of Dental Research. 74:169-169.  1995,
6,1994,APPLICATION OF HOSHIN PLANNING - A TQM/CQI PRINCIPLE AND PROCESS FOR CURRICULAR REVISION. American Journal of Pharmaceutical Education. 58:339-342.  1994,
7,1994,Erythromycin lactobionate toxicity in preterm neonates  1994  10.1097/00006454-199402000-00024,
8,1994,Serum concentrations of erythromycin after intravenous infusion in preterm neonates treated for Ureaplasma urealyticum infection  1994  10.1097/00006454-199404000-00008,
9,1994,UTILIZING THE PEER GROUP METHOD WITH CASE-STUDIES TO TEACH PHARMACEUTICS. American Journal of Pharmaceutical Education. 58:78-81.  1994,
10,1994,UTILIZING THE PEER GROUP METHOD WITH CASE-STUDIES TO TEACH PHARMACOKINETICS. American Journal of Pharmaceutical Education. 58:73-77.  1994,
11,1991,Accuracy of creatinine clearance estimates in geriatric males with elevated serum creatinine. Journal of Aging and Pharmacotherapy. 5:31-45.  1991,
