,Teaching Activities
0,PG502 - Pharmacology and Therapeutics (Spring Term 2019)  2018 - 2019
1,PG502 - Pharmacology and Therapeutics (Spring Term 2018)  2017 - 2018
2,PG502 - Pharmacology and Therapeutics (Spring Term 2017)  2017
3,OB602 - Dentistry Pharmacology/Therap (Spring Term 2017)  2017
4,PG502 - Pharmacology and Therapeutics (Spring Term 2016)  2016
5,PG502 - Pharmacology and Therapeutics (Spring Term 2015)  2015
6,OB602 - Dentistry Pharmacology/Therap (Spring Term 2015)  2015
7,PG502 - Pharmacology and Therapeutics (Spring Term 2014)  2014
8,PG502 - Pharmacology and Therapeutics (Spring Term 2013)  2013
9,OB602 - Dentistry Pharmacology/Therap (Spring Term 2013)  2013
10,PG502 - Pharmacology and Therapeutics (Spring Term 2012)  2012
11,PG502 - Pharmacology and Therapeutics (Spring Term 2011)  2011
12,OB602 - Dentistry Pharmacology/Therap (Spring Term 2011)  2011
13,NUR613 - Pharmacology and Therapeutics (Summer Term 2010)  2010
14,PG502 - Pharmacology and Therapeutics (Spring Term 2010)  2010
15,OB602 - Dentistry Pharmacology/Therap (Spring Term 2010)  2010
16,PG502 - Pharmacology and Therapeutics (Spring Term 2009)  2008 - 2009
17,PG502 - Pharmacology and Therapeutics (Winter Term 2008)  2008
