,Teaching Activities
0,NA733 - Informatics Nurse Anesthetists (Summer Term 2021)  2021
1,NA795 - Critical Concepts I (Summer Term 2021)  2021
2,NA740 - Anesthesia Principles I (Spring Term 2021)  2021
3,NA797 - Critical Concepts III (Spring Term 2021)  2021
4,NUR743 - EBP strategies (Spring Term 2021)  2021
5,NA745 - Professional Aspects (Fall Term 2020)  2020
6,NA796 - Critical Concepts II (Fall Term 2020)  2020
7,NUR740 - Health Policy and Politics (Fall Term 2020)  2020
8,NUR743 - EBP strategies (Fall Term 2020)  2020
9,NA733 - Informatics Nurse Anesthetists (Summer Term 2020)  2020
10,NUR740 - Health Policy and Politics (Summer Term 2020)  2020
11,NUR327L - Concepts Adult Hlth Nur I Prac (Summer Term 2019)  2019
12,NUR313L - Concepts Professional Nur Prac (Spring Term 2019)  2019
