,Teaching Activities
0,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2021)  2021
1,NUR737 - Interprof Ldrship Role Dev (Summer Term 2021)  2021
2,NUR745 - Foundations Scholarly Writing (Spring Term 2021)  2021
3,NUR737 - Interprof Ldrship Role Dev (Fall Term 2020)  2020
4,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2020)  2020
5,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2019)  2019
6,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2019)  2019
7,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2018)  2018
8,NUR447L - Synthesis and Assim Practicum (Summer Term 2015)  2015
9,NUR374 - Informatics Research Nurs Prac (Summer Term 2013)  2013
10,NUR456L - Leader Management Practicum (Spring Term 2013)  2013
11,NUR374 - Informatics Research Nurs Prac (Summer Term 2012)  2012
12,NUR456L - Leader Management Practicum (Spring Term 2012)  2012
13,NUR458L - Clinical Practicum for RNs (Spring Term 2012)  2012
14,NUR456L - Leader Management Practicum (Summer Term 2011)  2011
15,NUR456L - Leader Management Practicum (Spring Term 2011)  2011
16,NUR458L - Clinical Practicum for RNs (Fall Term 2010)  2010
17,NUR456L - Leader Management Practicum (Summer Term 2010)  2010
18,NUR456L - Leader Management Practicum (Spring Term 2010)  2010
