,Teaching Activities
0,PY325 - Clinical Child Psychology (Fall Term 2020)  2020
1,PY325 - Clinical Child Psychology (Fall Term 2019)  2019
2,PY325 - Clinical Child Psychology (Fall Term 2018)  2018
3,PY325 - Clinical Child Psychology (Fall Term 2017)  2017
4,PY325 - Clinical Child Psychology (Spring Term 2017)  2017
5,PY325 - Clinical Child Psychology (Fall Term 2016)  2016
6,PY325 - Clinical Child Psychology (Spring Term 2016)  2016
7,PY325 - Clinical Child Psychology (Fall Term 2015)  2015
8,PY325 - Clinical Child Psychology (Summer Term 2015)  2015
9,PY325 - Clinical Child Psychology (Spring Term 2015)  2015
10,PY325 - Clinical Child Psychology (Fall Term 2014)  2014
11,PY325 - Clinical Child Psychology (Spring Term 2014)  2014
12,PY325 - Clinical Child Psychology (Fall Term 2013)  2013
13,PY325 - Clinical Child Psychology (Summer Term 2013)  2013
14,PY325 - Clinical Child Psychology (Spring Term 2013)  2013
