,Year,Title,Altmetric
0,2021,"Resilience, preparedness, and distress among family caregivers of patients with advanced cancer. Supportive Care in Cancer. 29:6913-6920.  2021  10.1007/s00520-021-06265-y",
1,2021,Examining Adherence and Dose Effect of an Early Palliative Care Intervention for Advanced Heart Failure Patients. Journal of Pain and Symptom Management. 62:471-481.  2021  10.1016/j.jpainsymman.2021.01.136,
2,2021,Applying the Multiphase Optimization Strategy for the Development of Optimized Interventions in Palliative Care. Journal of Pain and Symptom Management. 62:174-182.  2021  10.1016/j.jpainsymman.2020.11.017,
3,2021,An Early Palliative Care Telehealth Coaching Intervention to Enhance Advanced Cancer Family Caregivers’ Decision Support Skills: The CASCADE Pilot Factorial Trial. Journal of Pain and Symptom Management. 2021  10.1016/j.jpainsymman.2021.07.023,
4,2020,Effect of an Early Palliative Care Telehealth Intervention vs Usual Care on Patients with Heart Failure: The ENABLE CHF-PC Randomized Clinical Trial. JAMA Internal Medicine. 180:1203-1213.  2020  10.1001/jamainternmed.2020.2861,
5,2020,Effects of a Telehealth Early Palliative Care Intervention for Family Caregivers of Persons With Advanced Heart Failure: The ENABLE CHF-PC Randomized Clinical Trial. JAMA Network Open. 3:e202583.  2020  10.1001/jamanetworkopen.2020.2583,
6,2020,African American Recruitment in Early Heart Failure Palliative Care Trials: Outcomes and Comparison With the ENABLE CHF-PC Randomized Trial. Journal of Palliative Care. 2020  10.1177/0825859720975978,
7,2019,How family caregivers of persons with advanced cancer assist with upstream healthcare decision-making: A qualitative study. PLoS ONE. 14.  2019  10.1371/journal.pone.0212967,
8,2019,Exploring the Role of Religion and Spirituality in Provider-Patient Communication Among African-Americans with Advanced Heart Failure and Their Family Caregivers (FR421B). Journal of Pain and Symptom Management. 57:411-412.  2019  10.1016/j.jpainsymman.2018.12.125,
9,2018,Protocol driven palliative care consultation: Outcomes of the ENABLE CHF-PC pilot study  2018  10.1016/j.hrtlng.2018.06.012,
10,2018,"Educate, Nurture, Advise, Before Life Ends Comprehensive Heartcare for Patients and Caregivers (ENABLE CHF-PC): Study protocol for a randomized controlled trial. Trials. 19.  2018  10.1186/s13063-018-2770-9",
11,2017,Looking to the future: Introducing palliative care in the cardiorespiratory population  2017  10.1016/j.hrtlng.2017.08.003,
12,2017,Family caregiving for persons with heart failure at the intersection of heart failure and palliative care: a state-of-the-science review. Heart Failure Reviews. 22:543-557.  2017  10.1007/s10741-017-9597-4,
13,2017,Engaging patients and families to create a feasible clinical trial integrating palliative and heart failure care: Results of the ENABLE CHF-PC pilot clinical trial. BMC Palliative Care. 16.  2017  10.1186/s12904-017-0226-8,
