,Year,Title,Altmetric
0,2021,Corpus callosum size and homotopic connectivity in Autism spectrum disorder. Psychiatry Research: Neuroimaging. 313.  2021  10.1016/j.pscychresns.2021.111301,
1,2021,“Unrest while Resting”? Brain entropy in autism spectrum disorder. Brain Research. 1762.  2021  10.1016/j.brainres.2021.147435,
2,2021,Behind the wheels with autism and ADHD: Brain networks involved in driving hazard detection. Transportation Research Part F: Traffic Psychology and Behaviour. 77:274-292.  2021  10.1016/j.trf.2021.01.007,
3,2021,Neural responses to viewing human faces in autism spectrum disorder: A quantitative meta-analysis of two decades of research. Neuropsychologia. 150.  2021  10.1016/j.neuropsychologia.2020.107694,
4,2021,Executive Function Brain Network Activation Predicts Driving Hazard Detection in ADHD  2021  10.1007/s10548-021-00877-7,
5,2021,Neuropsychological predictors of driving hazard detection in autism spectrum disorder and ADHD. Child Neuropsychology. 27:857-887.  2021  10.1080/09297049.2021.1908531,
6,2021,The Mid-Fusiform Sulcus in Autism Spectrum Disorder: Establishing a Novel Anatomical Landmark Related to Face Processing  2021  10.1002/aur.2425,
7,2021,Time-to-Collision Estimations in Young Drivers with Autism Spectrum Disorder and Attention-Deficit/Hyperactivity Disorder. Journal of Autism and Developmental Disorders. 2021  10.1007/s10803-021-05264-6,
8,2020,Metacognition and behavioral regulation predict distinct aspects of social functioning in autism spectrum disorder. Child Neuropsychology. 26:953-981.  2020  10.1080/09297049.2020.1745166,
9,2020,Frontoparietal Network in Executive Functioning in Autism Spectrum Disorder  2020  10.1002/aur.2403,
10,2020,Hyperconnectivity of social brain networks in autism during action-intention judgment. Neuropsychologia. 137.  2020  10.1016/j.neuropsychologia.2019.107303,
11,2019,Accuracy of machine learning algorithms for the diagnosis of autism spectrum disorder: Systematic review and meta-analysis of brain magnetic resonance imaging studies  2019  10.2196/14108,
12,2019,Developmental Considerations of Comorbidity in Autism Spectrum Disorder: The Need for Science Across Multiple Units of Analysis. Biological Psychiatry: Cognitive Neuroscience and Neuroimaging. 4:1016-1017.  2019  10.1016/j.bpsc.2019.10.001,
13,2019,Evidence for maintained post-encoding memory consolidation across the Adult Lifespan Revealed by network complexity  2019  10.3390/e21111072,
14,2019,Patterns of Cerebellar Connectivity with Intrinsic Connectivity Networks in Autism Spectrum Disorders. Journal of Autism and Developmental Disorders. 49:4498-4514.  2019  10.1007/s10803-019-04168-w,
15,2019,Gaps in Current Autism Research: The Thoughts of the Autism Research Editorial Board and Associate Editors  2019  10.1002/aur.2101,
16,2019,Aberrant “deep connectivity” in autism: A cortico–subcortical functional connectivity magnetic resonance imaging study  2019  10.1002/aur.2058,
17,2018,Neural Correlates of Social Perception in Children with Autism: Local versus Global Preferences. Neuroscience. 395:49-59.  2018  10.1016/j.neuroscience.2018.10.044,
18,2018,Differential recruitment of theory of mind brain network across three tasks: An independent component analysis. Behavioural Brain Research. 347:385-393.  2018  10.1016/j.bbr.2018.03.041,
19,2018,"Advances, challenges, and promises in pediatric neuroimaging of neurodevelopmental disorders. Neuroscience and Biobehavioral Reviews. 90:50-69.  2018  10.1016/j.neubiorev.2018.03.025",
20,2018,Neurophysiological differences in the adolescent brain following a single night of restricted sleep – A 7T fMRI study. Developmental Cognitive Neuroscience. 31:1-10.  2018  10.1016/j.dcn.2018.03.012,
21,2018,Action simulation and mirroring in children with autism spectrum disorders. Behavioural Brain Research. 341:1-8.  2018  10.1016/j.bbr.2017.12.012,
22,2018,"Brain responses underlying anthropomorphism, agency, and social attribution in autism spectrum disorder. Open Neuroimaging Journal. 12:16-29.  2018  10.2174/1874440001812010016",
23,2018,"Brain Mechanisms Underlying Reading the Mind from Eyes, Voice, and Actions. Neuroscience. 374:172-186.  2018  10.1016/j.neuroscience.2018.01.045",
24,2018,The impact of atypical sensory processing on social impairments in autism spectrum disorder. Developmental Cognitive Neuroscience. 29:151-167.  2018  10.1016/j.dcn.2017.04.010,
25,2017,Changes in intrinsic local connectivity after reading intervention in children with autism. Brain and Language. 175:11-17.  2017  10.1016/j.bandl.2017.08.008,
26,2017,Corrigendum to: Neural networks underlying language and social cognition during self-other processing in autism spectrum disorders (Neuropsychologia (2017) (102) (116–123) (S002839321730221X) (10.1016/j.neuropsychologia.2017.06.008)). Neuropsychologia. 106:418.  2017  10.1016/j.neuropsychologia.2017.08.006,
