,Teaching Activities
0,MCH799 - Dissert Res in Matrnl/Chd Hlth (Summer Term 2008)  2008
1,MCH601 - Prog/Pol Maternal Child Health (Spring Term 2008)  2008
2,MCH604 - Prin Public Hlth Surveillance (Spring Term 2008)  2008
3,MCH658 - Readings in MCH (Spring Term 2008)  2008
4,MCH697 - Internship (Spring Term 2008)  2008
5,MCH797 - Dir Readings/DrPH Exam in MCH (Spring Term 2008)  2008
6,MCH798 - Diss Protocol Dev in MCH (Spring Term 2008)  2008
7,MCH605 - Basic Res Methods for MCH Prac (Fall Term 2007)  2007
8,MCH710 - Perinatal Epidemiology (Fall Term 2007)  2007
9,MCH795 - Dir Readings/Doc stud in MCH (Fall Term 2007)  2007
10,MCH797 - Dir Readings/DrPH Exam in MCH (Fall Term 2007)  2007
11,MCH798 - Diss Protocol Dev in MCH (Fall Term 2007)  2007
12,MCH799 - Dissert Res in Matrnl/Chd Hlth (Fall Term 2007)  2007
