,Year,Title,Altmetric
0,2021,Perspective: Residency 101 for Physician-Scientists  2021  10.1126/science.caredit.a1000114,
1,2021,Early life stress in mice alters gut microbiota independent of maternal microbiota inheritance  2021  10.1152/AJPREGU.00072.2020,
2,2021,Perspective on careers in a large biotechnology company focused on research and development  2021  10.1096/fba.2021-00102,
3,2020,"Erratum: The Xenobiotic Transporter Mdr1 Enforces T Cell Homeostasis in the Presence of Intestinal Bile Acids (Immunity (2017) 47(6) (1182–1196.e10), (S1074761317304892), (10.1016/j.immuni.2017.11.012)). Immunity. 52:571.  2020  10.1016/j.immuni.2020.01.019",
4,2019,Gamification: an Innovative Approach to Reinforce Clinical Knowledge for MD-PhD Students During Their PhD Research Years. Medical Science Educator. 29:739-747.  2019  10.1007/s40670-019-00725-1,
5,2019,Optimization of Laboratory Ordering Practices for Complete Blood Count with Differential. American Journal of Clinical Pathology. 151:306-315.  2019  10.1093/ajcp/aqy146,
6,2019,Clinical factors and biomarkers predict outcome in patients with immune-mediated thrombotic thrombocytopenic purpura  2019  10.3324/haematol.2018.198275,
7,2018,Management of chronic myeloid leukemia in the setting of pregnancy: when is leukocytapheresis appropriate? A case report and review of the literature. Transfusion. 58:456-460.  2018  10.1111/trf.14448,
8,2018,The pathology workforce and clinical licensure: The role of the PhD clinical laboratorian in the United States. Academic Pathology. 5.  2018  10.1177/2374289518775948,
9,2017,The Xenobiotic Transporter Mdr1 Enforces T Cell Homeostasis in the Presence of Intestinal Bile Acids. Immunity. 47:1182-1196.e10.  2017  10.1016/j.immuni.2017.11.012,
10,2017,Impact of elective versus required medical school research experiences on career outcomes. Journal of Investigative Medicine. 65:942-948.  2017  10.1136/jim-2016-000352,
11,2016,Human neutrophil peptides and complement factor Bb in pathogenesis of acquired thrombotic thrombocytopenic purpura  2016  10.3324/haematol.2016.149021,
12,2016,High percentage of evanescent red cell antibodies in patients with sickle cell disease highlights need for a national antibody database. Southern Medical Journal. 109:588-591.  2016  10.14423/SMJ.0000000000000528,
13,2016,Anti–Blood Group Antibodies in Intravenous Immunoglobulin May Complicate Interpretation of Antibody Titers in ABO-Incompatible Transplantation. American Journal of Transplantation. 16:2483-2486.  2016  10.1111/ajt.13760,
14,2016,Hybrid inhibitor of peripheral cannabinoid-1 receptors and inducible nitric oxide synthase mitigates liver fibrosis. JCI insight. 1.  2016  10.1172/jci.insight.87336,
15,2016,Altered T-Cell Balance in Lymphoid Organs of a Mouse Model of Colorectal Cancer  2016  10.1369/0022155416672418,
16,2016,Opportunity: Newly Created Physician-Scientist Research Pathway by the American Board of Pathology. Academic Pathology. 3.  2016  10.1177/2374289516632240,
17,2015,Environmental-mediated intestinal homeostasis in neonatal mice. Journal of Surgical Research. 198:494-501.  2015  10.1016/j.jss.2015.04.002,
18,2015,Rescuing the physician-scientist workforce: The time for action is now. Journal of Clinical Investigation. 125:3742-3747.  2015  10.1172/JCI84170,
19,2015,Role of the gastrointestinal ecosystem in the development of type 1 diabetes. Pediatric Diabetes. 16:407-418.  2015  10.1111/pedi.12282,
20,2015,Response to Comment on Sofi et al. pH of drinking water influences the composition of gut microbiome and type 1 diabetes incidence. Diabetes 2014;63:632-644. Diabetes. 64:e20-e21.  2015  10.2337/db15-0554,
21,2015,Cross-fostering immediately after birth induces a permanent microbiota shift that is shaped by the nursing mother.. Microbiome. 3:17.  2015  10.1186/s40168-015-0080-y,
22,2015,Insights into environmental factors impacting celiac disease microbiota modulation of disease pathogenesis. American Journal of Pathology. 185:2864-2866.  2015  10.1016/j.ajpath.2015.09.001,
23,2015,Pathogenesis of necrotizing enterocolitis: Modeling the innate immune response. American Journal of Pathology. 185:4-16.  2015  10.1016/j.ajpath.2014.08.028,
24,2014,Consumption of Acidic Water Alters the Gut Microbiome and Decreases the Risk of Diabetes in NOD Mice  2014  10.1369/0022155413519650,
25,2013,Altered generation of induced regulatory T cells in the FVB.mdr1a -/- mouse model of colitis. Mucosal Immunology. 6:309-323.  2013  10.1038/mi.2012.73,
26,2013,Maintenance of host leukocytes in peripheral immune compartments following lethal irradiation and bone marrow reconstitution: Implications for graft versus host disease. Transplant Immunology. 28:112-119.  2013  10.1016/j.trim.2013.01.001,
27,2013,Use of the cockroach antigen model of acute asthma to determine the ammunomodulatory role of early exposure to gastrointestinal infection. Methods in Molecular Biology. 1032:271-286.  2013  10.1007/978-1-62703-496-8_21,
28,2012,Murine P-glycoprotein deficiency alters intestinal injury repair and blunts lipopolysaccharide-induced radioprotection. Radiation Research. 178:207-216.  2012  10.1667/RR2835.1,
29,2012,Gut Microbiota and Obesity. Current Obesity Reports. 1:1-8.  2012  10.1007/s13679-011-0001-8,
30,2011,Critical role for P-glycoprotein expression in hematopoietic cells in the FVB.Mdr1a -/- model of colitis. Journal of Pediatric Gastroenterology and Nutrition. 53:666-673.  2011  10.1097/MPG.0b013e31822860f1,
31,2011,Helicobacter felis-associated gastric disease in microbiota-restricted mice  2011  10.1369/0022155411416242,
32,2010,Role of postnatal acquisition of the intestinal microbiome in the early development of immune function. Journal of Pediatric Gastroenterology and Nutrition. 51:262-273.  2010  10.1097/MPG.0b013e3181e1a114,
33,2010,Toll-like receptor 4 is protective against neonatal murine ischemia-reperfusion intestinal injury. Journal of Pediatric Surgery. 45:1246-1255.  2010  10.1016/j.jpedsurg.2010.02.093,
34,2009,"Postgraduate choices of graduates from medical scientist training programs, 2004-2008  2009  10.1001/jama.2009.1355",
35,2009,Differential susceptibility of P-glycoprotein deficient mice to colitis induction by environmental insults. Inflammatory Bowel Diseases. 15:684-696.  2009  10.1002/ibd.20824,
36,2009,Gastric mucus alterations associated with murine Helicobacter infection  2009  10.1369/jhc.2009.952473,
37,2008,Celiac disease refractory to a gluten-free diet? Commentary  2008  10.1373/clinchem.2007.099341,
38,2008,Interleukin 17-producing T helper cells and interleukin 17 orchestrate autoreactive germinal center development in autoimmune BXD2 mice. Nature Immunology. 9:166-175.  2008  10.1038/ni1552,
39,2008,Helicobacter pylori Gastritis in Children Is Associated With a Regulatory T-Cell Response. Gastroenterology. 134:491-499.  2008  10.1053/j.gastro.2007.11.006,
40,2008,Toll-like receptor 2 is protective of ischemia-reperfusion-mediated small-bowel injury in a murine model. Pediatric Critical Care Medicine. 9:105-109.  2008  10.1097/01.PCC.0000288717.44702.C0,
41,2007,Performance of the Sebia CAPILLARYS 2 for detection and immunotyping of serum monoclonal paraproteins. American Journal of Clinical Pathology. 128:293-299.  2007  10.1309/1L3CG8GK6F8VYNYH,
42,2007,"Two-hit rat model of short bowel syndrome and sepsis: independent of total parenteral nutrition, short bowel syndrome is proinflammatory and injurious to the liver. Journal of Pediatric Surgery. 42:992-997.  2007  10.1016/j.jpedsurg.2007.01.071",
43,2007,"Expression of CXCL15 (lungkine) in murine gastrointestinal, urogenital and endocrine organs  2007  10.1369/jhc.6A7121.2007",
44,2006,"Safety of celecoxib in patients with ulcerative colitis in remission: A randomized, placebo-controlled, pilot study. Clinical Gastroenterology and Hepatology. 4:203-211.  2006  10.1016/j.cgh.2005.12.002",
45,2005,The Helicobacter felis model of adoptive transfer gastritis. Immunologic Research. 33:183-194.  2005  10.1385/IR:33:2:183,
46,2005,"Experimental models of inflammatory bowel disease reveal innate, adaptive, and regulatory mechanisms of host dialogue with the microbiota. Immunological Reviews. 206:260-276.  2005  10.1111/j.0105-2896.2005.00291.x",
47,2005,Organizing a mucosal defense. Immunological Reviews. 206:6-21.  2005  10.1111/j.0105-2896.2005.00282.x,
48,2005,Animal models of intestinal inflammation: Ineffective communication between coalition members. Springer Seminars in Immunopathology. 27:233-247.  2005  10.1007/s00281-005-0208-4,
