,Teaching Activities
0,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2021)  2021
1,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2021)  2021
2,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2021)  2021
3,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2021)  2021
4,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2020)  2020
5,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2020)  2020
6,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2020)  2020
7,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2020)  2020
8,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2020)  2020
9,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2019)  2019
10,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2019)  2019
11,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2019)  2019
12,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2019)  2019
13,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2018)  2018
14,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2018)  2018
15,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2018)  2018
16,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2017)  2017
17,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2017)  2017
18,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2017)  2017
19,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2016)  2016
20,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2016)  2016
21,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2016)  2016
22,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2015)  2015
23,NFA622 - Adv Perioperative Nur I: Pract (Summer Term 2015)  2015
24,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2015)  2015
25,NCA692L - Res: Adult Gero Acute Cr Nurs (Fall Term 2014)  2014
