,Teaching Activities
0,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2021)  2021
1,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2020)  2020
2,NUR553L - Nursing Practicum Women/Child (Summer Term 2020)  2020
3,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2020)  2020
4,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
5,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
6,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
7,NUR553L - Nursing Practicum Women/Child (Summer Term 2019)  2019
8,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2019)  2019
9,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2018)  2018
10,NUR553L - Nursing Practicum Women/Child (Summer Term 2018)  2018
11,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2018)  2018
12,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2017)  2017
13,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2016)  2016
14,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2016)  2016
15,NUR508L - Clin Prac Chldbear/Chldrea Fam (Summer Term 2016)  2016
16,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2015)  2015
17,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2015)  2015
18,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2014)  2014
19,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2013)  2013
