,Teaching Activities
0,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Summer Term 2021)  2021
1,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2020)  2020
2,NUR383 - Health Literacy (Spring Term 2020)  2020
3,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2019)  2019
4,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2019)  2019
5,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2019)  2019
6,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Summer Term 2019)  2019
7,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2018)  2018
8,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Summer Term 2018)  2018
9,NUR510L - Clinical Practice Communities (Fall Term 2017)  2017
10,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Summer Term 2017)  2017
11,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Spring Term 2017)  2017
12,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2016)  2016
