,Teaching Activities
0,HB697 - Internship (Fall Term 2014)  2014
1,HB699 - MR Level Proj Res Health Educ (Summer Term 2014)  2014
2,HB641 - Res Methods in Behavioral Sci (Spring Term 2014)  2014
3,HB697 - Internship (Spring Term 2014)  2014
4,HB624 - Adv Theory Behav Sci (Fall Term 2013)  2013
5,HB695 - Health Behavior Topics Seminar (Fall Term 2013)  2013
6,HB798 - Doctoral-Level Directed Res (Summer Term 2013)  2013
7,HB697 - Internship (Summer Term 2013)  2013
8,HB695 - Health Behavior Topics Seminar (Spring Term 2013)  2013
9,HB624 - Adv Theory Behav Sci (Fall Term 2012)  2012
10,HB799 - Doctoral Dissertation Research (Fall Term 2012)  2012
11,HB799 - Doctoral Dissertation Research (Summer Term 2012)  2012
12,HB697 - Internship (Summer Term 2012)  2012
13,HB798 - Doctoral-Level Directed Res (Spring Term 2012)  2012
14,HB624 - Adv Theory Behav Sci (Fall Term 2011)  2011
15,PY305 - Medical Psychology (Fall Term 2010)  2010
