,Year,Title,Altmetric
0,2020,CITY Health II - using entertainment education and social media to reduce HIV among emerging adults: A protocol paper for the Beat HIVe project. Contemporary Clinical Trials. 99.  2020  10.1016/j.cct.2020.106167,
1,2020,Adolescents’ perceptions of sexual health education programs: An integrative review. Journal of Adolescence. 84:96-112.  2020  10.1016/j.adolescence.2020.07.014,
2,2020,Caregiver-provider communication after resection of pediatric brain tumors. Journal of Neurosurgery: Pediatrics. 26:295-301.  2020  10.3171/2020.4.PEDS19696,
3,2020,"Neighborhood Disorder, Family Functioning, and Risky Sexual Behaviors in Adolescence  2020  10.1007/s10964-020-01211-3",
4,2020,"School Social Capital and Tobacco Experimentation Among Adolescents: Evidence From a Cross-Classified Multilevel, Longitudinal Analysis. Journal of Adolescent Health. 66:431-438.  2020  10.1016/j.jadohealth.2019.10.022",
5,2019,"Race Plays a Role in the Knowledge, Attitudes, and Beliefs of Women with Osteoporosis. Journal of Racial and Ethnic Health Disparities. 6:707-718.  2019  10.1007/s40615-019-00569-w",
6,2019,Mechanisms and Frequency of Violent Injuries Among Victims and Perpetrators of Bullying.. Journal of Adolescent Health. 64:664-670.  2019  10.1016/j.jadohealth.2018.10.295,
7,2019,Barriers to HIV Testing: Patient and Provider Perspectives in the Deep South. AIDS and Behavior. 23:1062-1072.  2019  10.1007/s10461-018-02385-5,
8,2019,Barriers to HIV Testing: Patient and Provider Perspectives in the Deep South. AIDS and Behavior. 23:1062-1072.  2019  10.1007/s10461-018-02385-5,
9,2019,Perceptions of a breast cancer survivorship intervention: Pearls of wisdom from young african American women. Journal of Adolescent and Young Adult Oncology. 8:165-171.  2019  10.1089/jayao.2018.0055,
10,2019,Self-reporting discrepancies of bullying victimization and perpetration measures.. Annals of Epidemiology. 32:58-63.  2019  10.1016/j.annepidem.2019.01.008,
11,2019,Coping strategies used by caregivers of children with newly diagnosed brain tumors. Journal of Neurosurgery: Pediatrics. 23:30-39.  2019  10.3171/2018.7.PEDS18296,
12,2019,Distress and psychosocial risk in families with newly diagnosed pediatric brain tumors. Journal of Neurosurgery: Pediatrics. 23:40-47.  2019  10.3171/2018.7.PEDS18297,
