,Awards And Honors
0,"Best Paper Award in Statistical Research , 2015"
1,"Appointed as Associate Faculty Member of F1000Prime , 2014"
2,"Outstanding Dissertation Divisional Award Winner , 2013"
3,"SAS Global Forum Scholarship Recipient , 2010"
4,"Outstanding Student Award for Educational Research , 2009"
5,"Spain Hickman Scholarship Award , 2009"
6,"Graduate Council Fellowship Nominee , 2009"
7,"Graduate Research Scholars Program Recipient , 2009"
8,"Membership Induction , 2009"
9,"Best Research Paper Award , 2008"
10,"Membership Induction , 2007"
11,"Golden Key International Honor Society , 2007"
