,Year,Title,Altmetric
0,2021,Optimizing factor VIII dosing in obese individuals with haemophilia A  2021  10.1097/MBC.0000000000001067,
1,2021,The Psychometric Analysis of the Certified Registered Nurse Anesthetist Workload Perception Scale (CWPS): Final Phase.. Journal of Nursing Measurement. 2021  10.1891/JNM-D-20-00093,
2,2021,Excess heart age in young breast cancer survivors over 2-year follow-up. Cancer Causes and Control. 32:617-626.  2021  10.1007/s10552-021-01415-3,
3,2021,Nurse Burnout Predicts Self-Reported Medication Administration Errors in Acute Care Hospitals. Journal for Healthcare Quality. 43:13-23.  2021  10.1097/JHQ.0000000000000274,
4,2020,"An Exploratory Study of the Influence of Perceived Organizational Support, Coworker Social Support, the Nursing Practice Environment, and Nurse Demographics on Burnout in Palliative Care Nurses. Journal of Hospice and Palliative Nursing. 22:465-472.  2020  10.1097/NJH.0000000000000686",
5,2020,Laboratory assay evaluation demystified: A review of key factors influencing interpretation of test results using different assays for SARS-CoV-2 infection diagnosis. Laboratory Medicine. 51:E66-E70.  2020  10.1093/LABMED/LMAA045,
6,2020,The Psychometric Analysis of an Instrument to Measure the Perceived Workload for Certified Registered Nurse Anesthetists. Journal of Nursing Measurement. 28:503-520.  2020  10.1891/JNM-D-19-00028,
7,2019,On the “Invisible Inventory Conundrum” in RFID-Equipped Supply Chains: A Data Science Approach to Assessing Tag Performance. Journal of Business Logistics. 40:339-358.  2019  10.1111/jbl.12232,
8,2019,"A Comprehensive Psychometric Examination of the Lesbian, Gay, and Bisexual Knowledge and Attitudes Scale for Heterosexuals (LGB-KASH). Journal of Homosexuality. 66:1104-1125.  2019  10.1080/00918369.2018.1491705",
9,2019,A prospective cohort study of Vitamin D supplementation in AD soldiers: Preliminary findings  2019  10.1093/milmed/usy393,
10,2019,Relative Deficiency of Plasma A Disintegrin and Metalloprotease with Thrombospondin Type 1 Repeats 13 Activity and Elevation of Human Neutrophil Peptides in Patients with Traumatic Brain Injury. Journal of Neurotrauma. 36:222-229.  2019  10.1089/neu.2018.5696,
