,Investigator On
0,A Multidomain Approach to Preventing Dementia in African Americans: Cognitive Prescriptions  awarded by  National Institute on Aging/NIH/DHHS
1,An Evaluation of the US Army Corps' CaringTouch System  awarded by  GENEVA FOUNDATION
2,"Cardiovascular Disease Risk Among Breast Cancer Survivors  awarded by  American Cancer Society, Inc."
3,Fertility Preservation in Women with Cystic Fibrosis Pre-Lung Transplantation  awarded by  National Institute of Child Health and Human Development/NIH/DHHS
4,"Impact of Nursing on Readmissions, Failure to Rescue & Mortality in DOD Hospitals  awarded by  TriService Nursing Research Program"
5,"Risk Factors for HPV Vaccine Non-Initiation in Young Adult Cancer Survivors  awarded by  American Cancer Society, Inc."
6,"Risk Factors for HPV Vaccine Non-Initiation in Young Adult Cancer Survivors  awarded by  American Cancer Society, Inc."
7,The Military Nursing Practice Environment's Association with Patient Outcomes  awarded by  TriService Nursing Research Program
8,The Psychometric Analysis of an Instrument to Measure the Concept of Workload for CRNAs  awarded by  American Association of Nurse Anesthetists Foundation
9,The Psychometric Analysis of the  CRNA (Certified Registered Nurse Anesthetist) Workload Perception Scale (CWPS) Final Phase  awarded by  American Association of Nurse Anesthetists Foundation
