,Teaching Activities
0,NST758 - Inferential Statistics I (Spring Term 2018)  2018
1,NST778 - Data Management (Fall Term 2017)  2017
2,NUR790 - Independent Study in Nursing (Fall Term 2017)  2017
3,NUR798 - Research Practicum (Summer Term 2017)  2017
4,NST758 - Inferential Statistics I (Spring Term 2017)  2017
5,NST778 - Data Management (Fall Term 2016)  2016
6,NUR791 - Indep Study Clinical Nursing (Summer Term 2016)  2016
7,NUR798 - Research Practicum (Summer Term 2016)  2016
8,NST758 - Inferential Statistics I (Spring Term 2016)  2016
9,NST778 - Data Management (Fall Term 2015)  2015
10,NST777 - Multivariate Methods/Nrs Res (Summer Term 2015)  2015
11,NUR791 - Indep Study Clinical Nursing (Summer Term 2015)  2015
12,NST758 - Inferential Statistics I (Spring Term 2015)  2015
13,NST776 - Linear Models for Clin Nrs Res (Spring Term 2015)  2015
14,NST778 - Data Management (Fall Term 2014)  2014
15,NUR756 - Applied Statistical Analysis (Fall Term 2014)  2014
