,Year,Title,Altmetric
0,2021,Is Medication Adherence Predictive of Cardiovascular Outcomes and Blood Pressure Control? The Systolic Blood Pressure Intervention Trial (SPRINT).. American Journal of Hypertension. 2021  10.1093/ajh/hpab145,
1,2020,"History of Cardiovascular Disease, Intensive Lifestyle Intervention, and Cardiovascular Outcomes in the Look AHEAD Trial  2020  10.1002/oby.22676",
2,2019,Serum Sodium and Pulse Pressure in SPRINT. American Journal of Hypertension. 32:649-656.  2019  10.1093/ajh/hpz055,
3,2019,Effect of Intensive and Standard Clinic-Based Hypertension Management on the Concordance Between Clinic and Ambulatory Blood Pressure and Blood Pressure Variability in SPRINT  2019  10.1161/JAHA.118.011706,
4,2018,Periprocedural Stroke and Myocardial Infarction as Risks for Long-Term Mortality in CREST. Circulation: Cardiovascular Quality and Outcomes. 11:e004663.  2018  10.1161/CIRCOUTCOMES.117.004663,
5,2018,Drugs don’t work in patients who don’t take them. Journal of Clinical Hypertension. 20:1504-1506.  2018  10.1111/jch.13380,
6,2018,"Race, sex, age, and regional differences in the association of obstructive sleep apnea with atrial fibrillation: Reasons for geographic and racial differences in stroke study  2018  10.5664/jcsm.7320",
7,2018,N-terminal pro-B-type natriuretic peptide and microsize myocardial infarction risk in the reasons for geographic and racial differences in stroke study. BMC Cardiovascular Disorders. 18.  2018  10.1186/s12872-018-0806-4,
8,2018,Long-term effects of an intensive lifestyle intervention on electrocardiographic criteria for left ventricular hypertrophy: The look AHEAD trial. American Journal of Hypertension. 31:541-548.  2018  10.1093/ajh/hpy004,
9,2018,"Gender, blood pressure, and cardiovascular and renal outcomes in adults with hypertension fromthe Systolic Blood Pressure InterventionTrial. Journal of Hypertension. 36:904-915.  2018  10.1097/HJH.0000000000001619",
10,2018,Serum Tumor Necrosis Factor-alpha associates with Myocardial Oxygen Demand and Exercise Tolerance in Postmenopausal Women.. International Journal of Exercise Science. 11:42-54.  2018,
11,2017,The Effect of Intentional Weight Loss on Fracture Risk in Persons With Diabetes: Results From the Look AHEAD Randomized Clinical Trial. Journal of Bone and Mineral Research. 32:2278-2287.  2017  10.1002/jbmr.3214,
12,2017,The association between insulin resistance and atrial fibrillation: A cross-sectional analysis from SPRINT (Systolic Blood Pressure Intervention Trial). Journal of Clinical Hypertension. 19:1152-1161.  2017  10.1111/jch.13062,
13,2017,Adherence to high-intensity statins following a myocardial infarction hospitalization among medicare beneficiaries. JAMA Cardiology. 2:890-895.  2017  10.1001/jamacardio.2017.0911,
14,2017,Comparison of expert adjudicated coronary heart disease and cardiovascular disease mortality with the National Death Index: Results from the REasons for Geographic And Racial Differences in Stroke (REGARDS) study  2017  10.1161/JAHA.116.004966,
15,2016,Orthostatic changes in systolic blood pressure among SPRINT participants at baseline. Journal of the American Society of Hypertension. 10:847-856.  2016  10.1016/j.jash.2016.08.005,
16,2016,What is the association of lipid levels and incident stroke?. International Journal of Cardiology. 220:890-894.  2016  10.1016/j.ijcard.2016.06.091,
17,2016,A PRISMA-compliant systematic review and meta-analysis of randomized controlled trials investigating the effects of statin therapy on plasma lipid concentrations in HIV-infected patients. Pharmacological Research. 111:343-356.  2016  10.1016/j.phrs.2016.06.005,
18,2016,Prevalence of electrocardiographic abnormalities based on hypertension severity and blood pressure levels: the Reasons for Geographic and Racial Differences in Stroke study. Journal of the American Society of Hypertension. 10:702-713.e4.  2016  10.1016/j.jash.2016.06.033,
19,2016,"Gender, race, age, and regional differences in the association of pulse pressure with atrial fibrillation: the Reasons for Geographic and Racial Differences in Stroke study. Journal of the American Society of Hypertension. 10:625-632.e1.  2016  10.1016/j.jash.2016.05.012",
20,2016,Is there an association between the prevalence of atrial fibrillation and severity and control of hypertension? The REasons for Geographic And Racial Differences in Stroke study. Journal of the American Society of Hypertension. 10:578-586.e5.  2016  10.1016/j.jash.2016.05.007,
21,2016,Antihypertensive medications and sexual function in women: Baseline data from the SBP intervention trial (SPRINT). Journal of Hypertension. 34:1224-1231.  2016  10.1097/HJH.0000000000000911,
22,2016,Burden of Coronary Heart Disease Rehospitalizations Following Acute Myocardial Infarction in Older Adults. Cardiovascular Drugs and Therapy. 30:323-331.  2016  10.1007/s10557-016-6653-6,
23,2016,Recruitment strategies and challenges in a large intervention trial: Systolic Blood Pressure Intervention Trial. Clinical Trials. 13:319-330.  2016  10.1177/1740774516631735,
24,2016,Systolic blood pressure response after high-intensity interval exercise is independently related to decreased small arterial elasticity in normotensive African American women  2016  10.1139/apnm-2015-0512,
25,2016,Antidepressant Medication Use and Its Association With Cardiovascular Disease and All-Cause Mortality in the Reasons for Geographic and Racial Differences in Stroke (REGARDS) Study. Annals of Pharmacotherapy. 50:253-261.  2016  10.1177/1060028015625284,
26,2016,Head-to-head comparison of statins versus fibrates in reducing plasma fibrinogen concentrations: A systematic review and meta-analysis. Pharmacological Research. 103:236-252.  2016  10.1016/j.phrs.2015.12.001,
27,2015,Trends in the Use of Nonstatin Lipid-Lowering Therapy Among Patients With Coronary Heart Disease: A Retrospective Cohort Study in the Medicare Population 2007 to 2011. Journal of the American College of Cardiology. 66:1864-1872.  2015  10.1016/j.jacc.2015.08.042,
28,2015,Tibolone decreases Lipoprotein(a) levels in postmenopausal women: A systematic review and meta-analysis of 12 studies with 1009 patients. Atherosclerosis. 242:87-96.  2015  10.1016/j.atherosclerosis.2015.06.056,
29,2015,Prospective association of a genetic risk score and lifestyle intervention with cardiovascular morbidity and mortality among individuals with type 2 diabetes: the Look AHEAD randomised controlled trial. Diabetologia. 58:1803-1813.  2015  10.1007/s00125-015-3610-z,
30,2015,Statin therapy and plasma coenzyme Q10 concentrations - A systematic review and meta-analysis of placebo-controlled trials. Pharmacological Research. 99:329-336.  2015  10.1016/j.phrs.2015.07.008,
31,2015,Perceived Stress and Atrial Fibrillation: The REasons for Geographic and Racial Differences in Stroke Study. Annals of Behavioral Medicine. 49:802-808.  2015  10.1007/s12160-015-9715-2,
32,2015,Should acetaminophen be added to the list of anti-inflammatory agents that are associated with cardiovascular events?. Hypertension. 65:991-992.  2015  10.1161/HYPERTENSIONAHA.115.05035,
33,2015,Correlates of Incident Cognitive Impairment in the REasons for Geographic and Racial Differences in Stroke (REGARDS) Study. The Clinical Neuropsychologist. 29:466-486.  2015  10.1080/13854046.2015.1042524,
34,2015,"Is pulse pressure an independent risk factor for incident stroke, REasons for geographic and racial differences in stroke. American Journal of Hypertension. 28:987-994.  2015  10.1093/ajh/hpu265",
35,2015,Systolic blood pressure control among individuals with type 2 diabetes: A comparative effectiveness analysis of three interventions. American Journal of Hypertension. 28:995-1009.  2015  10.1093/ajh/hpu292,
36,2015,Partial Meal Replacement Plan and Quality of the Diet at 1 Year: Action for Health in Diabetes (Look AHEAD) Trial. Journal of the Academy of Nutrition and Dietetics. 115:731-742.  2015  10.1016/j.jand.2014.11.003,
37,2015,Race-sex differences in the management of hyperlipidemia: The reasons for geographic and racial differences in stroke study. American Journal of Preventive Medicine. 48:520-527.  2015  10.1016/j.amepre.2014.10.025,
38,2015,Coronary Heart Disease Risk Factors and Outcomes in the Twenty-First Century: Findings from the REasons for Geographic and Racial Differences in Stroke (REGARDS) Study. Current Hypertension Reports. 17.  2015  10.1007/s11906-015-0541-5,
39,2015,Changes in body composition over 8 years in a randomized trial of a lifestyle intervention: The look AHEAD study  2015  10.1002/oby.21005,
40,2015,Effects of coenzyme Q10 on statin-induced myopathy: A meta-analysis of randomized controlled trials. Mayo Clinic Proceedings. 90:24-34.  2015  10.1016/j.mayocp.2014.08.021,
41,2014,Implications of Look AHEAD for clinical trials and clinical practice  2014  10.1111/dom.12318,
42,2014,"Secular changes in rates of coronary heart disease, fatal coronary heart disease, and out-of-hospital fatal coronary heart disease. International Journal of Cardiology. 174:436-439.  2014  10.1016/j.ijcard.2014.04.027",
43,2014,Achievement of optimal medical therapy goals for U.S. adults with coronary artery disease: Results from the REGARDS Study (REasons for Geographic and Racial Differences in Stroke). Journal of the American College of Cardiology. 63:1626-1633.  2014  10.1016/j.jacc.2013.12.042,
44,2014,Impact of weight loss on ankle-brachial index and interartery blood pressures  2014  10.1002/oby.20658,
45,2014,"Arterial elasticity, strength, fatigue, and endurance in older women. BioMed Research International. 2014.  2014  10.1155/2014/501754",
46,2014,Prehypertension and incident acute coronary heart disease in the reasons for geographic and racial differences in stroke (Regards) study. American Journal of Hypertension. 27:245-251.  2014  10.1093/ajh/hpt200,
47,2014,Aspirin as Primary Prevention of Acute Coronary Heart Disease Events.. British Journal of Medicine and Medical Research. 4:5357-5367.  2014  10.9734/BJMMR/2014/11212,
48,2014,Cognitive effects of statin medications. CNS Drugs. 28:411-419.  2014  10.1007/s40263-014-0147-5,
49,2014,Declines in coronary heart disease incidence and mortality among middle-aged adults with and without diabetes. Annals of Epidemiology. 24:581-587.  2014  10.1016/j.annepidem.2014.05.007,
50,2014,Effect of a long-term behavioural weight loss intervention on nephropathy in overweight or obese adults with type 2 diabetes: A secondary analysis of the Look AHEAD randomised clinical trial. Lancet Diabetes and Endocrinology. 2:801-809.  2014  10.1016/S2213-8587(14)70156-1,
51,2014,Hemodynamic and echocardiographic profiles in african american compared with white offspring of hypertensive parents: The HyperGEN study. American Journal of Hypertension. 27:21-26.  2014  10.1093/ajh/hpt178,
52,2014,Is pulse pressure an independent risk factor for incident acute coronary heart disease events? the REGARDS study. American Journal of Hypertension. 27:555-563.  2014  10.1093/ajh/hpt168,
53,2014,"Objective sleep, a novel risk factor for alterations in kidney function: The CARDIA study. Sleep Medicine. 15:1140-1146.  2014  10.1016/j.sleep.2014.05.021",
54,2014,Statin underuse and low prevalence of LDL-C control among U.S. Adults at high risk of coronary heart disease. American Journal of the Medical Sciences. 348:108-114.  2014  10.1097/MAJ.0000000000000292,
55,2013,Perceived stress is associated with incident coronary heart disease and all-cause mortality in low- but not high-income participants in the Reasons for Geographic And Racial Differences in Stroke study  2013  10.1161/JAHA.113.000447,
56,2013,Longitudinal associations between objective sleep and lipids: The CARDIA study. SLEEP. 36:1587-1595.  2013  10.5665/sleep.3104,
57,2013,"Awareness, treatment, and control of LDL cholesterol are lower among U.S. adults with undiagnosed diabetes versus diagnosed diabetes. Diabetes Care. 36:2734-2740.  2013  10.2337/dc12-2318",
58,2013,Longitudinal determinants of left ventricular mass and geometry: The coronary artery risk development in young adults (CARDIA) study. Circulation: Cardiovascular Imaging. 6:769-775.  2013  10.1161/CIRCIMAGING.112.000450,
