,Investigator On
0,Action For Health In Diabetes Continuation (Look AHEAD)  awarded by  National Institute of Diabetes and Digestive and Kidney Diseases/NIH/DHHS
1,Clinical Center for LookAHEAD: Action for Health in Diabetes  awarded by  National Institute of Diabetes and Digestive and Kidney Diseases/NIH/DHHS
2,Etiology of Geographic and Racial Differences in Stroke  awarded by  National Institute of Neurological Disorders and Stroke/NIH/DHHS
3,"Exercise Intensity, Metabolic Rate & Insulin Sensitivity  awarded by  National Institute of Diabetes and Digestive and Kidney Diseases/NIH/DHHS"
4,Exploring the Impact of Negative Energy Balance in Men with Prostate Cancer  awarded by  National Cancer Institute/NIH/DHHS
5,"Genomewide Association Study of Lipid Response to Fenofibrate and Dietary Fat  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
6,"Genomewide Association Study of Lipid Response to Fenofibrate and Dietary Fat  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
7,"HyperGEN: Genetics of Left Ventricular Hypertrophy  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
8,"Hypergen: Genetics of Left Ventricular Hypertrophy  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
9,Improvement of Visual Processing in Older Adults  awarded by  National Institute on Aging/NIH/DHHS
10,Longitudinal Changes in Pericardial Adiposity and Subclinical Atherosclerosis  awarded by  VANDERBILT UNIVERSITY MEDICAL CENTER
11,Longitudinal Changes in Pericardial Adiposity and Subclinical Atherosclerosis - Field Study  awarded by  WAKE FOREST UNIVERSITY
12,"Longitudinal Studies of Coronary Heart Disease Risk Factors in Young Adults-CARDIA-Field Center (Coronary Artery Risk Development in Young Adults (CARDIA) Study-Field Center and Study Follow-Up Field Center)  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
13,"Private Grant  awarded by  AMGEN, INC.^"
14,Private Grant  awarded by  BRISTOL MYERS SQUIBB PHARMACEUTICAL COMPANY
15,Private Grant  awarded by  BRISTOL MYERS SQUIBB PHARMACEUTICAL COMPANY
16,Private Grant  awarded by  ASTRAZENECA AB
17,"Private Grant  awarded by  AMGEN, INC.^"
18,Private Grant  awarded by  NOVARTIS PHARMACEUTICALS CORPORATION
19,Private Grant  awarded by  Bayer HealthCare
20,Private Grant  awarded by  NOVARTIS PHARMACEUTICALS CORPORATION
21,Private Grant  awarded by  Bayer HealthCare
22,"REasons for Geographic And Racial Differences in Stroke-Myocardial Infarction-2  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
23,"UAB Pre-Doctoral Training Program in Obesity-Related Research  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
