,Teaching Activities
0,EPI607Q - Fundamentals of Clinical Resea (Spring Term 2020)  2020
1,EPI607Q - Fundamentals of Clinical Resea (Spring Term 2019)  2019
2,EPI607Q - Fundamentals of Clinical Resea (Spring Term 2018)  2018
3,EPI607 - Fund of Clinical Research (Spring Term 2016)  2016
4,EPI610 - Prin of Epidemiologic Research (Fall Term 2015)  2015
5,EPI607 - Fund of Clinical Research (Spring Term 2015)  2015
6,EPI607 - Fund of Clinical Research (Spring Term 2015)  2015
7,EPI607 - Fund of Clinical Research (Fall Term 2013)  2013
8,EPI607 - Fund of Clinical Research (Fall Term 2012)  2012
9,EPI607 - Fund of Clinical Research (Fall Term 2011)  2011
10,EPI607 - Fund of Clinical Research (Fall Term 2010)  2010
11,EPI607 - Fund of Clinical Research (Fall Term 2009)  2009
12,EPI607 - Fund of Clinical Research (Fall Term 2008)  2008
13,EPI607 - Fund of Clinical Research (Fall Term 2007)  2007
