,Teaching Activities
0,NUR447L - Synthesis and Assim Practicum (Summer Term 2021)  2021
1,NUR447L - Synthesis and Assim Practicum (Spring Term 2021)  2021
2,NUR551L - Vulnerable Pop Practicum (Fall Term 2020)  2020
3,NUR447L - Synthesis and Assim Practicum (Spring Term 2020)  2020
4,NUR458L - Leadership Develop Practicum (Spring Term 2020)  2020
5,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2019)  2019
6,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2019)  2019
7,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Summer Term 2019)  2019
8,NUR447L - Synthesis and Assim Practicum (Summer Term 2019)  2019
9,NUR542 - Health Promotion Prevention (Summer Term 2019)  2019
10,NUR447L - Synthesis and Assim Practicum (Spring Term 2019)  2019
11,NUR458L - Leadership Develop Practicum (Spring Term 2019)  2019
12,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2018)  2018
13,NUR447L - Synthesis and Assim Practicum (Spring Term 2018)  2018
14,NUR458L - Leadership Develop Practicum (Spring Term 2018)  2018
15,NUR458L - Leadership Develop Practicum (Fall Term 2017)  2017
16,NUR510L - Clinical Practice Communities (Fall Term 2017)  2017
17,NUR447L - Synthesis and Assim Practicum (Spring Term 2017)  2017
18,NUR427L - Concepts of Complex Nur Pract (Fall Term 2016)  2016
19,NUR510L - Clinical Practice Communities (Fall Term 2016)  2016
20,NUR336 - Leadership (Spring Term 2016)  2016
21,NUR447L - Synthesis and Assim Practicum (Spring Term 2016)  2016
22,NUR336 - Leadership (Summer Term 2015)  2015
23,NUR447L - Synthesis and Assim Practicum (Summer Term 2015)  2015
24,NUR336 - Leadership (Spring Term 2015)  2015
25,NUR447L - Synthesis and Assim Practicum (Spring Term 2015)  2015
26,NUR442 - Hlth/Ed/Soc Welfare Global Com (Fall Term 2014)  2014
27,NUR491 - Independent Study in Nursing (Fall Term 2014)  2014
28,NUR518L - Synthesis Practicum in Nursing (Fall Term 2014)  2014
29,NUR642 - Hlth/Ed/Soc Welfare Global Com (Fall Term 2014)  2014
30,NUR336 - Leadership (Summer Term 2014)  2014
31,NUR456L - Leader Management Practicum (Summer Term 2014)  2014
32,NUR336 - Leadership (Spring Term 2014)  2014
33,NUR456L - Leader Management Practicum (Spring Term 2014)  2014
34,NUR396L - Community Public Hlth Prac/SL (Fall Term 2013)  2013
35,NUR509 - Nursing in Communities (Fall Term 2013)  2013
36,NUR510L - Clinical Practice Communities (Fall Term 2013)  2013
37,NUR456L - Leader Management Practicum (Summer Term 2013)  2013
38,NUR396L - Community Public Hlth Prac/SL (Spring Term 2013)  2013
39,NUR456L - Leader Management Practicum (Spring Term 2013)  2013
40,NUR396L - Community Public Hlth Prac/SL (Fall Term 2012)  2012
41,NUR509 - Nursing in Communities (Fall Term 2012)  2012
42,NUR510L - Clinical Practice Communities (Fall Term 2012)  2012
43,NUR517 - Leadership in Profess  Nursing (Fall Term 2012)  2012
44,NUR456L - Leader Management Practicum (Summer Term 2012)  2012
45,NUR396L - Community Public Hlth Prac/SL (Spring Term 2012)  2012
46,NUR456L - Leader Management Practicum (Spring Term 2012)  2012
47,NUR517 - Leadership in Profess  Nursing (Spring Term 2012)  2012
48,NUR368 - Sem I:Intr Nur Schlr/Inform/SL (Fall Term 2011)  2011
49,NUR396L - Community Public Hlth Prac/SL (Fall Term 2011)  2011
50,NUR396L - Community Public Hlth Prac/SL (Fall Term 2011)  2011
51,NUR475L - Health Assessment for RNs (Fall Term 2011)  2011
52,NUR486 - Sem III: Proj Implement/SL (Fall Term 2011)  2011
53,NUR456L - Leader Management Practicum (Summer Term 2011)  2011
54,NUR456L - Leader Management Practicum (Summer Term 2011)  2011
55,NUR456L - Leader Management Practicum (Summer Term 2011)  2011
56,NUR456L - Leader Management Practicum (Summer Term 2011)  2011
57,NUR456L - Leader Management Practicum (Summer Term 2011)  2011
58,NUR456L - Leader Management Practicum (Summer Term 2011)  2011
59,NUR456L - Leader Management Practicum (Summer Term 2011)  2011
60,NUR456L - Leader Management Practicum (Summer Term 2011)  2011
61,NUR396L - Community Public Hlth Prac/SL (Spring Term 2011)  2011
62,NUR456L - Leader Management Practicum (Spring Term 2011)  2011
63,NUR456L - Leader Management Practicum (Spring Term 2011)  2011
64,NUR456L - Leader Management Practicum (Spring Term 2011)  2011
65,NUR456L - Leader Management Practicum (Spring Term 2011)  2011
66,NUR456L - Leader Management Practicum (Spring Term 2011)  2011
67,NUR456L - Leader Management Practicum (Spring Term 2011)  2011
68,NUR456L - Leader Management Practicum (Spring Term 2011)  2011
69,NUR456L - Leader Management Practicum (Spring Term 2011)  2011
70,NUR456L - Leader Management Practicum (Spring Term 2011)  2011
71,NUR456L - Leader Management Practicum (Spring Term 2011)  2011
72,NUR396L - Community Public Hlth Prac/SL (Fall Term 2010)  2010
73,NUR396L - Community Public Hlth Prac/SL (Fall Term 2010)  2010
74,NUR458L - Clinical Practicum for RNs (Fall Term 2010)  2010
75,NUR396L - Community Public Hlth Prac/SL (Spring Term 2010)  2010
76,NUR396L - Community Public Hlth Prac/SL (Spring Term 2010)  2010
77,NUR510L - Clinical Practice Communities (Spring Term 2010)  2010
78,NUR396L - Community Public Hlth Prac-SL (Fall Term 2009)  2009
