,Teaching Activities
0,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2021)  2021
1,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2021)  2021
2,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2021)  2021
3,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2021)  2021
4,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2020)  2020
5,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2020)  2020
6,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2020)  2020
7,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2020)  2020
8,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2019)  2019
9,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2019)  2019
10,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2019)  2019
11,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2019)  2019
12,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2018)  2018
13,NPE623 - NP Pediatric Primary Care III (Summer Term 2018)  2018
14,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2018)  2018
15,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2018)  2018
16,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2017)  2017
17,NCC685L - Clin Pr I Adv Ped Nur Acute Cr (Summer Term 2017)  2017
18,NPE692L - Prac III: NP Ped Prim Cr Resid (Summer Term 2017)  2017
19,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2017)  2017
20,NPE685L - Pract I NP Pediatric Prim Care (Fall Term 2016)  2016
21,NPE686L - Prac II NP Pediatric Prim Care (Spring Term 2016)  2016
22,NDP688L - Dual Opt Pediatric NP Prac III (Fall Term 2015)  2015
23,NDP687L - Dual Option Ped NP Pract III (Summer Term 2015)  2015
24,NDP688L - Dual Opt Pediatric NP Prac III (Spring Term 2015)  2015
25,NCC692L - Cl Pr III Adv Ped Nur Acute Cr (Fall Term 2014)  2014
