,Teaching Activities
0,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2021)  2021
1,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2021)  2021
2,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2020)  2020
3,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2020)  2020
4,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2020)  2020
5,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2019)  2019
6,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2019)  2019
7,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2019)  2019
8,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2019)  2019
9,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2018)  2018
10,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2018)  2018
11,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2018)  2018
12,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2017)  2017
13,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2017)  2017
14,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2017)  2017
15,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2016)  2016
16,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2016)  2016
17,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2016)  2016
