,Year,Title,Altmetric
0,2016,Irritability in childhood and adolescence. Journal of Psychosocial Nursing and Mental Health Services. 54:28-31.  2016  10.3928/02793695-20161208-06,
1,2016,Irritability in childhood and adolescence.. Journal of Psychosocial Nursing & Mental Health Services. 2016,
2,2016,Suicide in childhood. Journal of Psychosocial Nursing and Mental Health Services. 54:27-30.  2016  10.3928/02793695-20160920-05,
3,2016,Suicide in childhood.. Journal of Psychosocial Nursing & Mental Health Services. 2016,
4,2016,Update on substance use in adolescence. Journal of Psychosocial Nursing and Mental Health Services. 54:24-27.  2016  10.3928/02793695-20160725-05,
5,2016,Update on substance use in adolescence.. Journal of Psychosocial Nursing & Mental Health Services. 2016,
6,2016,Update on anxiety disorders in childhood and adolescence. Journal of Psychosocial Nursing and Mental Health Services. 54:25-28.  2016  10.3928/02793695-20160518-04,
7,2016,Update on anxiety disorders in childhood and adolescence.. Journal of Psychosocial Nursing & Mental Health Services. 2016,
8,2016,Adolescents who self-injure. Journal of Psychosocial Nursing and Mental Health Services. 54:26-29.  2016  10.3928/02793695-20160318-04,
9,2015,Mental health of young refugees. Journal of Psychosocial Nursing and Mental Health Services. 53:16-18.  2015  10.3928/02793695-20151116-01,
