,Teaching Activities
0,NPN618L - Focus Adv Nur Prac Specializat (Summer Term 2021)  2021
1,NPN623 - Adv Psychiatric Nursing III (Summer Term 2021)  2021
2,NPN623 - Adv Psychiatric Nursing III (Summer Term 2021)  2021
3,NPN723 - Adv Psyc Mental Hlth Nur III (Summer Term 2021)  2021
4,NUR004 - UAB Nursing Orientation (Summer Term 2021)  2021
5,NPN622 - Adv Psychiatric Nursing II (Spring Term 2021)  2021
6,NPN622 - Adv Psychiatric Nursing II (Spring Term 2021)  2021
7,NPN722 - Adv Psychiatric Nur II (Spring Term 2021)  2021
8,NUR004 - UAB Nursing Orientation (Spring Term 2021)  2021
9,NPN621 - Adv Psych Mental Hlth Nur I (Fall Term 2020)  2020
10,NPN621 - Adv Psych Mental Hlth Nur I (Fall Term 2020)  2020
11,NPN721 - Adv Psychiatric Nursing I (Fall Term 2020)  2020
12,NUR004 - UAB Nursing Orientation (Fall Term 2020)  2020
13,NUR691 - Indep Study Clinical Nursing (Fall Term 2020)  2020
14,NPN618L - Focus Adv Nur Prac Specializat (Summer Term 2020)  2020
15,NPN623 - Adv Psychiatric Nursing III (Summer Term 2020)  2020
16,NPN623 - Adv Psychiatric Nursing III (Summer Term 2020)  2020
17,NPN692L - Residency: Psychiatric NP (Summer Term 2020)  2020
18,NUR004 - UAB Nursing Orientation (Summer Term 2020)  2020
19,NPN622 - Adv Psychiatric Nursing II (Spring Term 2020)  2020
20,NPN622 - Adv Psychiatric Nursing II (Spring Term 2020)  2020
21,NPN686L - Practicum II: Psychiatric NP (Spring Term 2020)  2020
22,NUR004 - UAB Nursing Orientation (Spring Term 2020)  2020
23,NPN621 - Adv Psychiatric Nursing I (Fall Term 2019)  2019
24,NPN685L - Practicum I: Psychiatric NP (Fall Term 2019)  2019
25,NUR004 - UAB Nursing Orientation (Fall Term 2019)  2019
26,NPN618L - Focus Adv Nur Prac Specializat (Summer Term 2019)  2019
27,NPN623 - Adv Psychiatric Nursing III (Summer Term 2019)  2019
28,NUR004 - UAB Hospital Orientation- CRNA (Summer Term 2019)  2019
29,NPN622 - Adv Psychiatric Nursing II (Spring Term 2019)  2019
30,NUR004 - UAB Hospital Orientation- CRNA (Spring Term 2019)  2019
31,NUR690 - Indep Study in Nursing (Spring Term 2019)  2019
32,NPN621 - Adv Psychiatric Nursing I (Fall Term 2018)  2018
33,NUR004 - UAB Hospital Orientation- CRNA (Fall Term 2018)  2018
34,NPN618L - Focus Adv Nur Prac Specializat (Summer Term 2018)  2018
35,NPN623 - Adv Psychiatric Nursing III (Summer Term 2018)  2018
36,NUR004 - UAB Hospital Orientation- CRNA (Summer Term 2018)  2018
37,NPN622 - Adv Psychiatric Nursing II (Spring Term 2018)  2018
38,NPN686L - Practicum II: Psychiatric NP (Spring Term 2018)  2018
39,NUR004 - UAB Hospital Orientation- CRNA (Spring Term 2018)  2018
40,NUR690 - Indep Study in Nursing (Spring Term 2018)  2018
41,NPN621 - Adv Psychiatric Nursing I (Fall Term 2017)  2017
42,NPN685L - Practicum I: Psychiatric NP (Fall Term 2017)  2017
43,NUR004 - UAB Hospital Orientation- CRNA (Fall Term 2017)  2017
44,NPN623 - Adv Psychiatric Nursing III (Summer Term 2017)  2017
45,NPN692L - Residency: Psychiatric NP (Summer Term 2017)  2017
46,NUR004 - UAB Hospital Orientation- CRNA (Summer Term 2017)  2017
47,NPN622 - Adv Psychiatric Nursing II (Spring Term 2017)  2017
48,NPN686L - Practicum II: Psychiatric NP (Spring Term 2017)  2017
49,NUR004 - UAB Hospital Orientation- CRNA (Spring Term 2017)  2017
50,NPN621 - Adv Psychiatric Nursing I (Fall Term 2016)  2016
51,NPN685L - Practicum I: Psychiatric NP (Fall Term 2016)  2016
52,NUR004 - UAB Hospital Orientation- CRNA (Fall Term 2016)  2016
53,NPN623 - Adv Psychiatric Nursing III (Summer Term 2016)  2016
54,NPN692L - Residency: Psychiatric NP (Summer Term 2016)  2016
55,NUR004 - UAB Hospital Orientation (Summer Term 2016)  2016
56,NPN622 - Adv Psychiatric Nursing II (Spring Term 2016)  2016
57,NPN686L - Practicum II: Psychiatric NP (Spring Term 2016)  2016
58,NUR004 - UAB Hospital Orientation (Spring Term 2016)  2016
59,NPN621 - Adv Psychiatric Nursing I (Fall Term 2015)  2015
60,NPN685L - Practicum I: Psychiatric NP (Fall Term 2015)  2015
61,NPN623 - Adv Psychiatric Nursing III (Summer Term 2015)  2015
62,NPN692L - Residency: Psychiatric NP (Summer Term 2015)  2015
63,NPN622 - Adv Psychiatric Nursing II (Spring Term 2015)  2015
64,NPN686L - Practicum II: Psychiatric NP (Spring Term 2015)  2015
65,NPN621 - Adv Psychiatric Nursing I (Fall Term 2014)  2014
66,NPN692L - Residency: Psychiatric NP (Fall Term 2014)  2014
67,NPN686L - Practicum II: Psychiatric NP (Summer Term 2014)  2014
