,Year,Title,Altmetric
0,2021,Novel dopamine receptor 3 antagonists inhibit the growth of primary and temozolomide resistant glioblastoma cells. PLoS ONE. 16.  2021  10.1371/journal.pone.0250649,
1,2021,Experiences and attitudes of hereditary cancer screening patients in a consumer directed testing model. Patient Education and Counseling. 104:473-479.  2021  10.1016/j.pec.2020.10.014,
2,2021,A role for GLUT3 in glioblastoma cell invasion that is not recapitulated by GLUT1  2021  10.1080/19336918.2021.1903684,
3,2020,Dissecting the regulatory activity and sequence content of loci with exceptional numbers of transcription factor associations  2020  10.1101/gr.260463.119,
4,2020,Inhibiting WNT ligand production for improved immune recognition in the Ovarian tumor microenvironment. Cancers. 12.  2020  10.3390/cancers12030766,
5,2020,Inhibition of the Wnt/β-catenin pathway enhances antitumor immunity in ovarian cancer  2020  10.1177/1758835920913798,
6,2019,"Histone deacetylase inhibition promotes intratumoral CD8+ T-cell responses, sensitizing murine breast tumors to anti-PD1  2019  10.1007/s00262-019-02430-9",
7,2019,Chromodomain Helicase DNA-Binding Protein 7 Is Suppressed in the Perinecrotic/Ischemic Microenvironment and Is a Novel Regulator of Glioblastoma Angiogenesis. STEM CELLS. 37:453-462.  2019  10.1002/stem.2969,
8,2019,"The expression of MHC class II molecules on murine breast tumors delays T-cell exhaustion, expands the T-cell repertoire, and slows tumor growth  2019  10.1007/s00262-018-2262-5",
9,2018,powerTCR: A model-based approach to comparative analysis of the clone size distribution of the T cell receptor repertoire. PLoS Computational Biology. 14.  2018  10.1371/journal.pcbi.1006571,
10,2018,Reactive species balance via GTP cyclohydrolase i regulates glioblastoma growth and tumor initiating cell maintenance. Neuro-Oncology. 20:1055-1067.  2018  10.1093/neuonc/noy012,
11,2018,R2DGC: Threshold-free peak alignment and identification for 2D gas chromatography-mass spectrometry in R. Bioinformatics. 34:1789-1791.  2018  10.1093/bioinformatics/btx825,
12,2018,Molecular response to neoadjuvant chemotherapy in high-grade serous ovarian carcinoma  2018  10.1158/1541-7786.MCR-17-0594,
13,2017,Addition of carbonic anhydrase 9 inhibitor SLC-0111 to temozolomide treatment delays glioblastoma growth in vivo.. JCI insight. 2.  2017  10.1172/jci.insight.92928,
14,2017,A genome-wide interactome of DNA-associated proteins in the human liver  2017  10.1101/gr.222083.117,
15,2017,Post-mortem molecular profiling of three psychiatric disorders  2017  10.1186/s13073-017-0458-5,
16,2017,"ARNApipe: A balanced, efficient and distributed pipeline for processing RNA-seq data in high-performance computing environments. Bioinformatics. 33:1727-1729.  2017  10.1093/bioinformatics/btx023",
17,2017,Genome-wide DNA methylation measurements in prostate tissues uncovers novel prostate cancer diagnostic biomarkers and transcription factor binding patterns. BMC Cancer. 17.  2017  10.1186/s12885-017-3252-2,
18,2017,Differential stress induced c-Fos expression and identification of region-specific miRNA-mRNA networks in the dorsal raphe and amygdala of high-responder/low-responder rats. Behavioural Brain Research. 319:110-123.  2017  10.1016/j.bbr.2016.11.015,
19,2017,Genomic regulation of invasion by STAT3 in triple negative breast cancer. Oncotarget. 8:8226-8238.  2017  10.18632/oncotarget.14153,
20,2017,Pex35 is a regulator of peroxisome abundance. Journal of Cell Science. 130:791-804.  2017  10.1242/jcs.187914,
21,2017,RNA sequencing-based cell proliferation analysis across 19 cancers identifies a subset of proliferation-informative cancers with a common survival signature. Oncotarget. 8:38668-38681.  2017  10.18632/oncotarget.16961,
22,2016,RNA sequencing of pancreatic adenocarcinoma tumors yields novel expression patterns associated with long-term survival and reveals a role for ANGPTL4. Molecular Oncology. 10:1169-1182.  2016  10.1016/j.molonc.2016.05.004,
