,Teaching Activities
0,GBSC700 - Journal Clubs (Spring Term 2021)  2021
1,GBSC700 - Journal Clubs (Fall Term 2020)  2020
2,GBSC700 - Journal Clubs (Spring Term 2020)  2020
3,GBSC700 - Journal Clubs (Fall Term 2019)  2019
4,GBSC738 - HudsonAlpha Courses (Fall Term 2019)  2019
5,GBSC700 - Journal Clubs (Spring Term 2019)  2019
6,GBSC700 - Journal Clubs (Fall Term 2018)  2018
7,GBSC700 - Journal Clubs (Spring Term 2018)  2018
8,GBS787 - Special Topics (Fall Term 2017)  2017
9,GBSC700 - Journal Clubs (Fall Term 2017)  2017
