,Teaching Activities
0,91-220 - PROCEDURES IN FAMILY MEDICINE (Fall Term 2020)  2020
1,91-220 - PROCEDURES IN FAMILY MEDICINE (Fall Term 2020)  2020
2,91-220 - PROCEDURES IN FAMILY MEDICINE (Fall Term 2019)  2019
3,91-220 - PROCEDURES IN FAMILY MEDICINE (Spring Term 2019)  2019
4,91-220 - PROCEDURES IN FAMILY MEDICINE (Spring Term 2019)  2019
5,91-221 - FAMILY MEDICINE OBSTETRICS (Spring Term 2019)  2019
6,91-220 - PROCEDURES IN FAMILY MEDICINE (Spring Term 2019)  2019
7,"91-219 - AMBULATORY FAMILY MEDICINE, NORTHPORT OFFICE (Fall Term 2018)  2018"
8,91-220 - PROCEDURES IN FAMILY MEDICINE (Fall Term 2018)  2018
9,91-221 - FAMILY MEDICINE OBSTETRICS (Fall Term 2018)  2018
10,"91-219 - AMBULATORY FAMILY MEDICINE, NORTHPORT OFFICE (Fall Term 2018)  2018"
11,91-221 - FAMILY MEDICINE OBSTETRICS (Fall Term 2018)  2018
12,91-221 - FAMILY MEDICINE OBSTETRICS (Spring Term 2018)  2018
13,"91-219 - AMBULATORY FAMILY MEDICINE, NORTHPORT OFFICE (Spring Term 2018)  2018"
14,91-220 - PROCEDURES IN FAMILY MEDICINE (Spring Term 2018)  2018
15,91-220 - PROCEDURES IN FAMILY MEDICINE (Fall Term 2017)  2017
16,91-221 - FAMILY MEDICINE OBSTETRICS (Spring Term 2017)  2017
17,91-221 - FAMILY MEDICINE OBSTETRICS (Fall Term 2016)  2016
