,Teaching Activities
0,NUR409 - Healthcare and Informat Tech (Summer Term 2021)  2021
1,NUR519 - Evidence-Based Nursing (Spring Term 2021)  2021
2,NUR409 - Healthcare and Informat Tech (Fall Term 2020)  2020
3,NUR409 - Healthcare and Informat Tech (Summer Term 2020)  2020
4,NUR519 - Evidence-Based Nursing (Spring Term 2020)  2020
5,NUR519 - Evidence-Based Nursing (Spring Term 2020)  2020
6,NUR409 - Healthcare and Informat Tech (Fall Term 2019)  2019
7,NUR409 - Healthcare and Informat Tech (Summer Term 2019)  2019
8,NUR409 - Healthcare and Informat Tech (Fall Term 2018)  2018
9,NUR409 - Healthcare and Informat Tech (Summer Term 2018)  2018
10,NUR409 - Healthcare and Informat Tech (Fall Term 2017)  2017
11,NUR409 - Healthcare and Informat Tech (Summer Term 2017)  2017
