,Teaching Activities
0,NUR499 - Living With Loss (Summer Term 2021)  2021
1,NUR534 - Living With Loss (Summer Term 2021)  2021
2,NUR499 - Living With Loss (Spring Term 2021)  2021
3,NUR499 - Living With Loss (Summer Term 2020)  2020
4,NUR534 - Living With Loss (Summer Term 2020)  2020
5,NUR499 - Living With Loss (Spring Term 2020)  2020
6,NUR534 - Living With Loss (Spring Term 2020)  2020
7,NUR499 - Living With Loss (Summer Term 2019)  2019
8,NUR534 - Living With Loss (Summer Term 2019)  2019
9,NUR499 - Living With Loss (Spring Term 2019)  2019
10,NUR534 - Living With Loss (Spring Term 2019)  2019
11,NUR499 - Living With Loss (Summer Term 2018)  2018
12,NUR534 - Living With Loss (Summer Term 2018)  2018
13,NUR499 - Living With Loss (Spring Term 2018)  2018
14,NUR534 - Living With Loss (Spring Term 2018)  2018
15,NUR499 - Living With Loss (Summer Term 2017)  2017
16,NUR534 - Living With Loss (Summer Term 2017)  2017
17,NUR499 - Living With Loss (Spring Term 2017)  2017
18,NUR534 - Living With Loss (Spring Term 2017)  2017
19,NUR499 - Living With Loss (Summer Term 2016)  2016
20,NUR534 - Living With Loss (Summer Term 2016)  2016
21,NUR499 - Living With Loss (Spring Term 2016)  2016
22,NUR534 - Living With Loss (Spring Term 2016)  2016
23,NUR499 - Living With Loss (Summer Term 2015)  2015
24,NUR534 - Living With Loss (Summer Term 2015)  2015
25,NUR499 - Living With Loss (Spring Term 2015)  2015
26,NUR534 - Living With Loss (Spring Term 2015)  2015
27,NUR499 - Living With Loss (Summer Term 2014)  2014
28,NUR534 - Living With Loss (Summer Term 2014)  2014
29,NUR499 - Living With Loss (Spring Term 2014)  2014
30,NUR534 - Living With Loss (Spring Term 2014)  2014
31,NUR499 - Living With Loss (Summer Term 2013)  2013
32,NUR534 - Living With Loss (Summer Term 2013)  2013
33,NUR499 - Living With Loss (Spring Term 2013)  2013
34,NUR534 - Living With Loss (Spring Term 2013)  2013
35,NPA692L - Residency: Palliative Care NP (Fall Term 2012)  2012
36,NPA627 - Palliative Care Adv Nur Pra II (Summer Term 2012)  2012
37,NPA686L - Pract: Palliative Care NP  II (Summer Term 2012)  2012
38,NUR499 - Living With Loss (Summer Term 2012)  2012
39,NUR534 - Living With Loss (Summer Term 2012)  2012
40,NPA626 - Palliative Care Adv Nur Prac I (Spring Term 2012)  2012
41,NPA685L - Pract: Palliative Care NP I (Spring Term 2012)  2012
