,Year,Title,Altmetric
0,2021,Perimyocarditis following first dose of the mRNA-1273 SARS-CoV-2 (Moderna) vaccine in a healthy young male: a case report. BMC Cardiovascular Disorders. 21.  2021  10.1186/s12872-021-02183-3,
1,2021,"Publisher Correction: Reappraising the role of inflammation in heart failure (Nature Reviews Cardiology, (2020), 17, 5, (269-285), 10.1038/s41569-019-0315-x). Nature Reviews Cardiology. 18:735.  2021  10.1038/s41569-021-00534-3",
2,2021,Cardiac pathology in COVID-19: a single center autopsy experience. Cardiovascular Pathology. 54.  2021  10.1016/j.carpath.2021.107370,
3,2021,Branched chain amino acids selectively promote cardiac growth at the end of the awake period. Journal of Molecular and Cellular Cardiology. 157:31-44.  2021  10.1016/j.yjmcc.2021.04.005,
4,2021,Healing and repair after myocardial infarction: The forgotten but resurgent basophil. Journal of Clinical Investigation. 131.  2021  10.1172/JCI150555,
5,2021,Relative Predictive Value of Circulating Immune Markers in US Adults Without Cardiovascular Disease: Implications for Risk Reclassification. Mayo Clinic Proceedings. 96:1812-1821.  2021  10.1016/j.mayocp.2020.11.027,
6,2021,Echocardiographic diagnosis of left ventricular diastolic dysfunction: Impact of coronary artery disease  2021  10.1111/echo.14959,
7,2021,Complete heart block without ventricular escape secondary to hyperkalemia induced by herbal tea. HeartRhythm Case Reports. 2021  10.1016/j.hrcr.2021.11.004,
8,2020,Cardiac Function and Sudden Cardiac Death in Heart Failure With Preserved Ejection Fraction (from the TOPCAT Trial). American Journal of Cardiology. 129:46-52.  2020  10.1016/j.amjcard.2020.04.038,
9,2020,Leucocyte count predicts cardiovascular risk in heart failure with preserved ejection fraction: insights from TOPCAT Americas. ESC Heart Failure. 7:1676-1687.  2020  10.1002/ehf2.12724,
10,2020,"Clinical, Demographic, and Imaging Correlates of Anemia in Heart Failure With Preserved Ejection Fraction (from the RELAX Trial). American Journal of Cardiology. 125:1870-1878.  2020  10.1016/j.amjcard.2020.03.006",
11,2020,Effect of immunomodulation on cardiac remodelling and outcomes in heart failure: a quantitative synthesis of the literature. ESC Heart Failure. 7:1319-1330.  2020  10.1002/ehf2.12681,
12,2020,The apolipoprotein a-i mimetic l-4f attenuates monocyte activation and adverse cardiac remodeling after myocardial infarction. International Journal of Molecular Sciences. 21.  2020  10.3390/ijms21103519,
13,2020,"Anemia, Mortality, and Hospitalizations in Heart Failure With a Preserved Ejection Fraction (from the TOPCAT Trial). American Journal of Cardiology. 125:1347-1354.  2020  10.1016/j.amjcard.2020.01.046",
14,2020,Reappraising the role of inflammation in heart failure. Nature Reviews Cardiology. 17:269-285.  2020  10.1038/s41569-019-0315-x,
15,2020,MitoQ regulates redox-related noncoding RNAs to preserve mitochondrial network integrity in pressure-overload heart failure  2020  10.1152/ajpheart.00617.2019,
16,2020,"Intracellular metabolism analysis of Clostridium cellulovorans via modeling integrating proteomics, metabolomics and fermentation. Process Biochemistry. 89:9-19.  2020  10.1016/j.procbio.2019.10.032",
17,2020,The Evolution of the Enzymatic Diagnosis of Myocardial Infarction. American Journal of the Medical Sciences. 359:67-69.  2020  10.1016/j.amjms.2019.11.009,
18,2020,"Chronobiological influence over cardiovascular function the good, the bad, and the ugly. Circulation Research. 258-279.  2020  10.1161/CIRCRESAHA.119.313349",
19,2020,"Coronary Microvascular Dysfunction, Left Ventricular Remodeling, and Clinical Outcomes in Patients with Chronic Kidney Impairment. Circulation. 21-33.  2020  10.1161/CIRCULATIONAHA.119.043916",
20,2019,Effects of Crushed Ticagrelor Versus Eptifibatide Bolus Plus Clopidogrel in Troponin-Negative Acute Coronary Syndrome Patients Undergoing Percutaneous Coronary Intervention: A Randomized Clinical Trial  2019  10.1161/JAHA.119.012844,
21,2019,Circulating myocardial microRNAs from infarcted hearts are carried in exosomes and mobilise bone marrow progenitor cells. Nature Communications. 10.  2019  10.1038/s41467-019-08895-7,
22,2019,Risk of Major Adverse Cardiovascular Events and Major Hemorrhage Among White and Black Patients Undergoing Percutaneous Coronary Intervention  2019  10.1161/JAHA.119.012874,
23,2019,"Race, Natriuretic Peptides, and High-Carbohydrate Challenge: A Clinical Trial. Circulation Research. 125:957-968.  2019  10.1161/CIRCRESAHA.119.315026",
24,2019,"Optimized protocols for isolation, fixation, and flow cytometric characterization of leukocytes in ischemic hearts  2019  10.1152/AJPHEART.00137.2019",
25,2019,"Race-based demographic, anthropometric and clinical correlates of N-terminal-pro B-type natriuretic peptide. International Journal of Cardiology. 286:145-151.  2019  10.1016/j.ijcard.2019.02.034",
26,2019,"Response by Bansal et al to Letter Regarding Article, ""dysfunctional and Proinflammatory Regulatory T-Lymphocytes Are Essential for Adverse Cardiac Remodeling in Ischemic Cardiomyopathy"". Circulation. 139:E1035-E1036.  2019  10.1161/CIRCULATIONAHA.119.040737",
27,2019,Impact of medical therapy for cardiovascular disease on left ventricular diastolic properties and remodeling. International Journal of Cardiology: Heart and Vasculature. 23.  2019  10.1016/j.ijcha.2019.100365,
28,2019,Role of left ventricle deformation analysis in stress echocardiography for significant coronary artery disease detection: A diagnostic study meta-analysis  2019  10.1111/echo.14365,
29,2019,Cardiovascular Events and Hospital Deaths Among Patients With Severe Sepsis. American Journal of Cardiology. 123:1406-1413.  2019  10.1016/j.amjcard.2019.01.038,
30,2019,HDAC inhibition induces autophagy and mitochondrial biogenesis to maintain mitochondrial homeostasis during cardiac ischemia/reperfusion injury. Journal of Molecular and Cellular Cardiology. 130:36-48.  2019  10.1016/j.yjmcc.2019.03.008,
31,2019,Evaluation of flow-modulation approaches in ventricular assist devices using an in-vitro endothelial cell culture model  2019  10.1016/j.healun.2018.10.007,
32,2019,Mitoquinone ameliorates pressure overload-induced cardiac fibrosis and left ventricular dysfunction in mice. Redox Biology. 21.  2019  10.1016/j.redox.2019.101100,
33,2019,Dysfunctional and Proinflammatory Regulatory T-Lymphocytes Are Essential for Adverse Cardiac Remodeling in Ischemic Cardiomyopathy. Circulation. 139:206-221.  2019  10.1161/CIRCULATIONAHA.118.036065,
34,2019,Convergences of Life Sciences and Engineering in Understanding and Treating Heart Failure. Circulation Research. 124:161-169.  2019  10.1161/CIRCRESAHA.118.314216,
35,2019,Racial differences in the association of NT-proBNP with risk of incident heart failure in REGARDS. JCI insight. 4.  2019  10.1172/jci.insight.129979,
36,2018,Genetic deletion of 12/15 lipoxygenase promotes effective resolution of inflammation following myocardial infarction. Journal of Molecular and Cellular Cardiology. 118:70-80.  2018  10.1016/j.yjmcc.2018.03.004,
37,2018,CCR2+ Monocyte-Derived Infiltrating Macrophages Are Required for Adverse Cardiac Remodeling During Pressure Overload. JACC: Basic to Translational Science. 3:230-244.  2018  10.1016/j.jacbts.2017.12.006,
38,2018,Effect of NT-proBNP–Guided Therapy on All-Cause Mortality in Chronic Heart Failure With Reduced Ejection Fraction. Journal of the American College of Cardiology. 71:951-952.  2018  10.1016/j.jacc.2017.11.070,
39,2018,Racial differences in plasma levels of n-Terminal pro-b-Type natriuretic peptide and outcomes the reasons for geographic and racial differences in stroke (regards) study. JAMA Cardiology. 3:11-17.  2018  10.1001/jamacardio.2017.4207,
40,2018,Refractory hypertension is not attributable to intravascular fluid retention as determined by intracardiac volumes. Hypertension. 72:343-349.  2018  10.1161/HYPERTENSIONAHA.118.10965,
41,2018,THE CARDIOSPLENIC AXIS IS ESSENTIAL FOR THE PATHOGENESIS OF ISCHEMIC HEART FAILURE  2018,
42,2018,The stress kinase JNK regulates gap junction Cx43 gene expression and promotes atrial fibrillation in the aged heart. Journal of Molecular and Cellular Cardiology. 114:105-115.  2018  10.1016/j.yjmcc.2017.11.006,
43,2017,Resolution Agonist 15-epi-Lipoxin A4 Programs Early Activation of Resolving Phase in Post-Myocardial Infarction Healing. Scientific Reports. 7.  2017  10.1038/s41598-017-10441-8,
44,2017,Overcoming the Roadblocks to Cardiac Cell Therapy Using Tissue Engineering. Journal of the American College of Cardiology. 70:766-775.  2017  10.1016/j.jacc.2017.06.012,
45,2017,Ticagrelor and Eptifibatide Bolus Versus Ticagrelor and Eptifibatide Bolus With 2-Hour Infusion in High-Risk Acute Coronary Syndromes Patients Undergoing Early Percutaneous Coronary Intervention  2017  10.1161/JAHA.117.005562,
46,2017,Continuous-Flow Left Ventricular Assist Device Support Improves Myocardial Supply:Demand in Chronic Heart Failure. Annals of Biomedical Engineering. 45:1475-1486.  2017  10.1007/s10439-017-1804-x,
47,2017,Immunomodulation is the key to cardiac repair. Circulation Research. 120:1530-1532.  2017  10.1161/CIRCRESAHA.117.310954,
48,2017,Cardiomyocyte Ogt limits ventricular dysfunction in mice following pressure overload without affecting hypertrophy. Basic Research in Cardiology. 112.  2017  10.1007/s00395-017-0612-7,
49,2017,Activated T lymphocytes are essential drivers of pathological remodeling in ischemic heart failure. Circulation: Heart Failure. 10.  2017  10.1161/CIRCHEARTFAILURE.116.003688,
50,2017,Leukocyte iNOS is required for inflammation and pathological remodeling in ischemic heart failure. Basic Research in Cardiology. 112.  2017  10.1007/s00395-017-0609-2,
51,2017,"Myocardial ischemia/reperfusion impairs neurogenesis and hippocampal-dependent learning and memory. Brain, Behavior, and Immunity. 61:266-273.  2017  10.1016/j.bbi.2016.09.001",
52,2017,Lack of evidence of lower 30-day all-cause readmission in Medicare beneficiaries with heart failure and reduced ejection fraction discharged on spironolactone. International Journal of Cardiology. 227:462-466.  2017  10.1016/j.ijcard.2016.11.006,
53,2017,Cardiac inflammation in genetic dilated cardiomyopathy caused by MYBPC3 mutation. Journal of Molecular and Cellular Cardiology. 102:83-93.  2017  10.1016/j.yjmcc.2016.12.002,
54,2017,Interaction of 12/15-lipoxygenase with fatty acids alters the leukocyte kinetics leading to improved postmyocardial infarction healing  2017  10.1152/ajpheart.00040.2017,
55,2017,Mononuclear phagocytes are dispensable for cardiac remodeling in established pressure-overload heart failure. PLoS ONE. 12.  2017  10.1371/journal.pone.0170781,
56,2016,Altered myocardial metabolic adaptation to increased fatty acid availability in cardiomyocyte-specific CLOCK mutant mice  2016  10.1016/j.bbalip.2015.12.012,
57,2016,Renin-Angiotensin System Inhibition and Lower 30-Day All-Cause Readmission in Medicare Beneficiaries with Heart Failure. American Journal of Medicine. 129:1067-1073.  2016  10.1016/j.amjmed.2016.05.008,
58,2016,Effect of Left Ventricular Systolic Dysfunction on Response to Warfarin. American Journal of Cardiology. 118:232-236.  2016  10.1016/j.amjcard.2016.04.047,
59,2016,The biological basis for cardiac repair after myocardial infarction. Circulation Research. 119:91-112.  2016  10.1161/CIRCRESAHA.116.303577,
60,2016,Acute metabolic influences on the natriuretic peptide system in humans. Journal of the American College of Cardiology. 67:804-812.  2016  10.1016/j.jacc.2015.11.049,
61,2016,Aging dysregulates D- and E-series resolvins to modulate cardiosplenic and cardiorenal network following myocardial infarction. Aging. 8:2611-2634.  2016  10.18632/aging.101077,
62,2016,Heme oxygenase-1 regulates mitochondrial quality control in the heart.. JCI insight. 1:e85817.  2016  10.1172/jci.insight.85817,
63,2016,TNF receptor signaling inhibits cardiomyogenic differentiation of cardiac stem cells and promotes a neuroadrenergic-like fate  2016  10.1152/ajpheart.00904.2015,
64,2015,O-GlcNAcylation negatively regulates cardiomyogenic fate in adult mouse cardiac mesenchymal stromal cells. PLoS ONE. 10.  2015  10.1371/journal.pone.0142939,
65,2015,Residential Proximity to Major Roadways Is Associated with Increased Levels of AC133+ Circulating Angiogenic Cells  2015  10.1161/ATVBAHA.115.305724,
66,2015,Genetic Deficiency of Glutathione S-Transferase P Increases Myocardial Sensitivity to Ischemia-Reperfusion Injury. Circulation Research. 117:437-449.  2015  10.1161/CIRCRESAHA.114.305518,
67,2015,Beta-blocker use and 30-day all-cause readmission in medicare beneficiaries with systolic heart failure. American Journal of Medicine. 128:715-721.  2015  10.1016/j.amjmed.2014.11.036,
68,2015,Resolvin D1 activates the inflammation resolving response at splenic and ventricular site following myocardial infarction leading to improved ventricular function. Journal of Molecular and Cellular Cardiology. 84:24-35.  2015  10.1016/j.yjmcc.2015.04.003,
69,2015,Glutathione S-transferase P protects against cyclophosphamide-induced cardiotoxicity in mice. Toxicology and Applied Pharmacology. 285:136-148.  2015  10.1016/j.taap.2015.03.029,
