,Investigator On
0,"Beta-hydroxybutyrate Protects Mitochondria During Cardiac lschemia Reperfusion Injury  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
1,"Cardiac Mesenchymal Stem Cells and Myocardial Fibrosis: Role of Platelet Derived Growth Factor Receptor Signaling  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
2,"Discovery, Implementation and Mentorship in Personalized Cardiovascular Pharmacotherapy  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
3,"Glucose-Mediated Remodeling of Cardiac DNA Methylation  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
4,"Integrated Cellular and Tissue Engineering for Ischemic Heart Disease  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
5,Integrating Genomic Risk Assessment for Chronic Disease Management in a Diverse Population  awarded by  National Human Genome Research Institute/NIH/DHHS
6,"Lipoxygenase Signaling in Heart Failure Pathology  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
7,"Metabolic Rhythm Alterations as a Cause for Obesity Cardiomyopathy  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
8,"Mitochondria-SR Redox Signaling and Ca2+ Handling in Healthy and Failing Hearts  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
9,"Pathological TNFR1 Expressing CD4+ T-Cells are Critical for HF Progression  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
10,"Patient Oriented Research in Personalized Antithrombotic Therapy  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
11,"Private Grant  awarded by  SUNSHINE HEART, INC."
12,Private Grant  awarded by  LUNG BIOTECHNOLOGY PBC
13,Private Grant  awarded by  Actelion Pharmaceuticals Ltd.
14,"Private Grant  awarded by  HEARTWARE, INC."
15,Private Grant  awarded by  Pfizer Pharmaceuticals
16,"Private Grant  awarded by  ABBOTT VASCULAR, INC."
17,"Private Grant  awarded by  ARENA PHARMACEUTICALS, INC."
18,"Private Grant  awarded by  ARENA PHARMACEUTICALS, INC."
19,"Private Grant  awarded by  CARDIACASSIST, INC"
20,Private Grant  awarded by  GENO LLC
21,Private Grant  awarded by  GENO LLC
22,Private Grant  awarded by  GE HEALTHCARE
23,"Private Grant  awarded by  ZOLL SERVICES, LLC"
24,Randomized Evaluation of VAD Intervention before Inotropic Therapy (REVIVE-IT) Pilot Trial  awarded by  University of Michigan
25,"Reductive Stress Induces Proteotoxic Cardiac Disease  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
26,"Resolution of Inflammation in Heart Failure Post-Myocardial Infarction  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
27,Role of Heme Oxygenase-1 in Doxorubicin-Induced Cardiac Toxicity  awarded by  American Heart Association
28,Role of Lipoxins in Resolution of Inflammation Following Myocardial Infarction  awarded by  American Heart Association (Southeast Affiliate)
29,"Selection of Flow Modulation Protocols for Patients on Continuous Flow Ventricular Assist Devices (CF-VADs)  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
30,Sustaining Quality of Life of the Aged: Heart Transplant or Mechanical Support  awarded by  Northwestern University
31,"Tissue Chip Models for Cardiovascular Development and Disease  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
32,"Training Program in Cardiovascular Pathophysiology  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
