,Principal Investigator On
0,"6th Annual Comprehensive Cardiovascular Center (CCVC) Symposium: Focus on Cardiovascular Electrophysiology  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
1,"Basic and Translational Science in Heart Failure  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
2,"Cardiac Macrophages as Disease Drivers in Chronic Ischemic Heart Failure  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
3,"Cardiomyocyte-Mediated Mechanisms of Ischemia  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
4,Genomic Analysis of Enhanced Response to Heart Failure Therapy in African America  awarded by  University of Pittsburgh The
5,"Macrophage Circadian Clock Disruption and Inflammation in Heart Failure  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
6,"Obesity, Salt-Sensitivity, and Natriuretic Peptides  awarded by  VANDERBILT UNIVERSITY"
7,Private Grant  awarded by  THORATEC CORPORATION
8,Private Grant  awarded by  Gilead Sciences ^
9,Private Grant  awarded by  UNITED THERAPEUTICS CORPORATION
10,"Private Grant  awarded by  AASTROM BIOSCIENCES, INC."
11,Private Grant  awarded by  TEVA BRANDED PHARMACEUTICAL PRODUCTS R&D
12,"Private Grant  awarded by  MEDTRONIC, INC."
13,"Private Grant  awarded by  BIOSENSE WEBSTER, INC."
14,Private Grant  awarded by  BOSTON SCIENTIFIC CORPORATION
15,Private Grant  awarded by  ABBOTT LABORATORIES
16,Protection of Ischemic Myocardium: Tumor Necrosis Factor Modulation of CPCs  awarded by  University of Louisville
17,"Relationship between Coronary Flow Reserve, Myocardial Structure/Function and Glomerular Filtration Rates:   Mechanistic Insights and Outcomes  awarded by  American College of Cardiology"
18,"Role of Glutathione S-Transferase P in Heart Failure  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
19,Role of Macrophages in Diabetic Cardiomyopathy  awarded by  American Heart Association
20,Role of T-Regulatory Lymphocytes in Pathological Cardiac Remodeling and Heart Failure  awarded by  American Heart Association (Southeast Affiliate)
21,"Splenic Marginal Zone Macrophages in Chronic Ischemic Heart Failure  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
