,Teaching Activities
0,GBSC739 - Training Grant Course (Fall Term 2020)  2020
1,GBSC739 - Training Grant Course (Fall Term 2019)  2019
2,GBSC701 - Seminars (Fall Term 2018)  2018
3,GBS748 - Special Topics (Summer Term 2018)  2018
4,GBSC701 - Seminars (Fall Term 2017)  2017
5,28-434 - CARDIOLOGY CONSULT (Spring Term 2012)  2012
6,28-434 - CARDIOLOGY CONSULT (Spring Term 2012)  2012
7,28-434 - CARDIOLOGY CONSULT (Spring Term 2012)  2012
8,28-434 - CARDIOLOGY CONSULT (Spring Term 2012)  2012
9,28-434 - CARDIOLOGY CONSULT (Spring Term 2012)  2012
10,28-434 - CARDIOLOGY CONSULT (Spring Term 2012)  2012
11,28-434 - CARDIOLOGY CONSULT (Spring Term 2012)  2012
12,28-434 - CARDIOLOGY CONSULT (Spring Term 2012)  2012
13,28-434 - CARDIOLOGY CONSULT (Spring Term 2012)  2012
14,28-434 - CARDIOLOGY CONSULT (Spring Term 2012)  2012
15,28-434 - CARDIOLOGY CONSULT (Fall Term 2011)  2011
