,Teaching Activities
0,NCA623 - Adult Gero Acute Cr Nur Pr III (Summer Term 2021)  2021
1,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2021)  2021
2,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2020)  2020
3,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2020)  2020
4,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2020)  2020
5,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2019)  2019
6,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2019)  2019
7,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2018)  2018
8,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2018)  2018
9,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2018)  2018
10,NCA621 - Adult Gero Acute Care Nur Pr I (Fall Term 2017)  2017
11,NCA622 - Adult Acute Gero Care:Pract II (Spring Term 2017)  2017
12,NCA621 - Adult Gero Acute Care Nur Pr I (Fall Term 2016)  2016
13,NCA623 - Adult Gero Acute Cr Nur Pr III (Summer Term 2016)  2016
14,NCA622 - Adult Acute Gero Care:Pract II (Spring Term 2016)  2016
15,NCA621 - Adult Gero Acute Care Nur Pr I (Fall Term 2015)  2015
16,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2015)  2015
17,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2014)  2014
