,Teaching Activities
0,NAH692L - Residency: Adult/Gero NP (Summer Term 2019)  2019
1,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2019)  2019
2,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2018)  2018
3,NAH692L - Residency: Adult/Gero NP (Summer Term 2018)  2018
4,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2018)  2018
5,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2017)  2017
6,NAH692L - Residency: Adult/Gero NP (Summer Term 2017)  2017
7,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2017)  2017
8,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2016)  2016
9,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2016)  2016
10,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2015)  2015
11,NFH686L - Pract II: Family Nurse Pract (Spring Term 2015)  2015
12,NFH623 - Advanced Family Nursing III (Fall Term 2014)  2014
