,Teaching Activities
0,NFH686L - Pract II: Family Nurse Pract (Spring Term 2020)  2020
1,NFH685L - Pract I: Family Nurse Pract (Fall Term 2019)  2019
2,NFH692L - Residency: Family Nurs Pract (Summer Term 2019)  2019
3,NFH686L - Pract II: Family Nurse Pract (Spring Term 2019)  2019
4,NFH685L - Pract I: Family Nurse Pract (Fall Term 2018)  2018
5,NFH692L - Residency: Family Nurs Pract (Summer Term 2018)  2018
6,NFH686L - Pract II: Family Nurse Pract (Spring Term 2018)  2018
7,NFH685L - Pract I: Family Nurse Pract (Fall Term 2017)  2017
8,NFH692L - Residency: Family Nurs Pract (Summer Term 2017)  2017
9,NFH686L - Pract II: Family Nurse Pract (Spring Term 2017)  2017
10,NFH685L - Pract I: Family Nurse Pract (Fall Term 2016)  2016
11,NFH692L - Residency: Family Nurs Pract (Summer Term 2016)  2016
12,NUR004 - UAB Hospital Orientation (Summer Term 2016)  2016
13,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2016)  2016
14,NFH686L - Pract II: Family Nurse Pract (Spring Term 2016)  2016
15,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2015)  2015
16,NAH692L - Residency: Adult/Gero NP (Summer Term 2015)  2015
17,NAH692L - Residency: Adult/Gero NP (Summer Term 2015)  2015
18,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2015)  2015
19,NAH692L - Residency: Adult/Gero NP (Fall Term 2014)  2014
20,NAH686L - Practicum II: Adult/Gero NP (Summer Term 2014)  2014
21,NUR612 - Advanced Pathophysiology (Summer Term 2014)  2014
22,NAH685L - Prac I: Adult/Gero Nurse Pract (Spring Term 2014)  2014
23,NAH692L - Residency: Adult/Gero NP (Fall Term 2013)  2013
24,NUR612 - Advanced Pathophysiology (Fall Term 2013)  2013
25,NAH686L - Practicum II Adult Nurse Pract (Summer Term 2013)  2013
26,NAH685L - Practicum I Adult Nurse Pract (Spring Term 2013)  2013
27,NAH685L - Practicum I Adult Nurse Pract (Spring Term 2013)  2013
28,NUR612 - Advanced Pathophysiology (Spring Term 2013)  2013
29,NUR612 - Advanced Pathophysiology (Fall Term 2012)  2012
30,NCA685L - Practicum I Adu Acute Care NP (Summer Term 2012)  2012
31,NUR612 - Advanced Pathophysiology (Summer Term 2012)  2012
32,NUR612 - Advanced Pathophysiology (Summer Term 2012)  2012
33,NUR612 - Advanced Pathophysiology (Summer Term 2012)  2012
