,Year,Title,Altmetric
0,2021,"Incidence of strabismus, strabismus surgeries, and other vision conditions in Prader-Willi syndrome: data from the Global Prader-Willi Syndrome Registry. BMC Ophthalmology. 21.  2021  10.1186/s12886-021-02057-4",
1,2021,Suicidality in individuals with Prader-Willi syndrome: a review of registry survey data. BMC Psychiatry. 21.  2021  10.1186/s12888-021-03436-3,
2,2021,"Neural stem cell delivery of an oncolytic adenovirus in newly diagnosed malignant glioma: a first-in-human, phase 1, dose-escalation trial  2021  10.1016/S1470-2045(21)00245-X",
3,2021,"Characteristics and relationship between hyperphagia, anxiety, behavioral challenges and caregiver burden in Prader-Willi syndrome. PLoS ONE. 16.  2021  10.1371/journal.pone.0248739",
4,2021,Measuring Meaningful Benefit-Risk Tradeoffs to Promote Patient-Focused Drug Development in Prader-Willi Syndrome: A Discrete-Choice Experiment. MDM Policy and Practice. 6.  2021  10.1177/23814683211039457,
5,2020,Variability and change over time of weight and BMI among adolescents and adults with Prader-Willi syndrome: A 6-month text-based observational study. Orphanet Journal of Rare Diseases. 15.  2020  10.1186/s13023-020-01504-7,
6,2019,"The global prader–willi syndrome registry: Development, launch, and early demographics. Genes. 10.  2019  10.3390/genes10090713",
7,2018,Caregiver priorities for endpoints to evaluate treatments for Prader-Willi syndrome: a best–worst scaling  2018  10.1080/13696998.2018.1528980,
8,2018,High levels of caregiver burden in Prader-Willi syndrome. PLoS ONE. 13.  2018  10.1371/journal.pone.0194655,
9,2018,"Use of mobile devices to measure outcomes in clinical research, 2010-2016: A systematic literature review. Digital Biomarkers. 2:11-30.  2018  10.1159/000486347",
10,2017,Toxicity and Pharmacokinetic Profile for Single-Dose Injection of ABY-029: a Fluorescent Anti-EGFR Synthetic Affibody Molecule for Human Use  2017  10.1007/s11307-016-1033-y,
11,2016,Prader-Willi syndrome mental health research strategy workshop proceedings: the state of the science and future directions. Orphanet Journal of Rare Diseases. 11:1-7.  2016  10.1186/s13023-016-0504-1,
12,2016,The High Direct Medical Costs of Prader-Willi Syndrome. Journal of Pediatrics. 175:137-143.  2016  10.1016/j.jpeds.2016.05.018,
13,2016,Vision 20/20: Molecular-guided surgical oncology based upon tumor metabolism or immunologic phenotype: Technological pathways for point of care imaging and intervention. Medical Physics. 43:3143-3156.  2016  10.1118/1.4951732,
14,2016,"Single dose GLP toxicity and biodistribution study of a conditionally replicative adenovirus vector, CRAd-S-pk7, administered by intracerebral injection to Syrian hamsters. Journal of Translational Medicine. 14.  2016  10.1186/s12967-016-0895-8",
15,2015,Safety and tumor specificity of cetuximab-IRDye800 for surgical navigation in head and neck cancer. Clinical Cancer Research. 21:3658-3666.  2015  10.1158/1078-0432.CCR-14-3284,
16,2015,Medication Trials for Hyperphagia and Food-Related Behaviors in Prader-Willi Syndrome.. Diseases. 3:78-85.  2015  10.3390/diseases3020078,
17,2015,IND-Directed Safety and Biodistribution Study of Intravenously Injected Cetuximab-IRDye800 in Cynomolgus Macaques  2015  10.1007/s11307-014-0773-9,
18,2015,Advancing molecular-guided surgery through probe development and testing in a moderate cost evaluation pipeline. Progress in Biomedical Optics and Imaging - Proceedings of SPIE. 9311.  2015  10.1117/12.2083224,
19,2009,A genetically engineered adenovirus vector targeted to CD40 mediates transduction of canine dendritic cells and promotes antigen-specific immune responses in vivo. Vaccine. 27:7116-7124.  2009  10.1016/j.vaccine.2009.09.055,
20,2007,Whole genome microarray analysis of gene expression in Prader-Willi syndrome  2007  10.1002/ajmg.a.31606,
21,2006,DNA vaccines for cancer. Frontiers in Bioscience. 11:1189-1198.  2006  10.2741/1872,
