,Teaching Activities
0,NPN685L - Practicum I: Psychiatric NP (Fall Term 2020)  2020
1,NPN692L - Residency: Psychiatric NP (Summer Term 2020)  2020
2,NPN686L - Practicum II: Psychiatric NP (Spring Term 2020)  2020
3,NPN685L - Practicum I: Psychiatric NP (Fall Term 2019)  2019
4,NPN692L - Residency: Psychiatric NP (Summer Term 2019)  2019
5,NPN686L - Practicum II: Psychiatric NP (Spring Term 2019)  2019
6,NPN685L - Practicum I: Psychiatric NP (Fall Term 2018)  2018
7,NPN692L - Residency: Psychiatric NP (Summer Term 2018)  2018
8,NPN686L - Practicum II: Psychiatric NP (Spring Term 2018)  2018
9,NPN685L - Practicum I: Psychiatric NP (Fall Term 2017)  2017
10,NPN692L - Residency: Psychiatric NP (Summer Term 2017)  2017
11,NPN686L - Practicum II: Psychiatric NP (Spring Term 2017)  2017
12,NPN685L - Practicum I: Psychiatric NP (Fall Term 2016)  2016
13,NPN686L - Practicum II: Psychiatric NP (Spring Term 2016)  2016
14,NPN685L - Practicum I: Psychiatric NP (Fall Term 2015)  2015
15,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2014)  2014
16,NUR502L - Foundations Clinical Practice (Spring Term 2014)  2014
17,NPN686L - Practicum II: Family Psych NP (Summer Term 2013)  2013
