,Teaching Activities
0,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2019)  2019
1,NAH623 - Adv Adult Gero Nursing III (Summer Term 2017)  2017
2,NAH692L - Residency: Adult/Gero NP (Summer Term 2017)  2017
3,NAH622 - Adv Adult Geront Nursing II (Spring Term 2017)  2017
4,NAH621 - Adv Adult Gerontology Nurs I (Fall Term 2016)  2016
5,NAH623 - Adv Adult Gero Nursing III (Summer Term 2016)  2016
6,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2016)  2016
7,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2015)  2015
8,NAH623 - Adv Adult Gero Nursing III (Summer Term 2015)  2015
9,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2015)  2015
10,NAH692L - Residency: Adult/Gero NP (Fall Term 2014)  2014
11,NAH686L - Practicum II: Adult/Gero NP (Summer Term 2014)  2014
12,NAH692L - Residency: Adult/Gero NP (Fall Term 2013)  2013
13,NUR616L - Focus Adv Nur Prac Specializat (Fall Term 2013)  2013
14,NUR691 - Indep Study Clinical Nursing (Fall Term 2013)  2013
15,NAH622 - Advanced Adult Nursing II (Summer Term 2013)  2013
16,NAH686L - Practicum II Adult Nurse Pract (Summer Term 2013)  2013
17,NUR691 - Indep Study Clinical Nursing (Summer Term 2013)  2013
18,NAH685L - Practicum I Adult Nurse Pract (Spring Term 2013)  2013
19,NAH685L - Practicum I Adult Nurse Pract (Spring Term 2013)  2013
20,NAH692L - Residency:Adult Nurse Pract (Spring Term 2013)  2013
21,NGN685L - Practicum I: Gero Nurse Pract (Spring Term 2013)  2013
22,NUR491 - Independent Study in Nursing (Spring Term 2013)  2013
23,NAH692L - Residency:Adult Nurse Pract (Fall Term 2012)  2012
24,NGN630 - Adv Prac Gerontology Nur (Fall Term 2012)  2012
25,NGN630 - Adv Prac Gerontology Nur (Fall Term 2012)  2012
26,NGN630 - Adv Prac Gerontology Nur (Fall Term 2012)  2012
27,NUR436L - Nurs of the Adult Practicum (Fall Term 2012)  2012
28,NUR490 - Independent Study in Nursing (Fall Term 2012)  2012
29,NUR491 - Independent Study in Nursing (Fall Term 2012)  2012
30,NAH686L - Practicum II Adult Nurse Pract (Summer Term 2012)  2012
31,NGN685L - Practicum I: Gero Nurse Pract (Spring Term 2012)  2012
32,NUR436L - Nurs of the Adult Practicum (Spring Term 2012)  2012
33,NUR491 - Independent Study in Nursing (Spring Term 2012)  2012
34,NAH692L - Residency:Adult Nurse Pract (Fall Term 2011)  2011
35,NUR436L - Nurs of the Adult Practicum (Fall Term 2011)  2011
36,NUR436L - Nurs of the Adult Practicum (Fall Term 2011)  2011
37,NUR436L - Nurs of the Adult Practicum (Fall Term 2011)  2011
38,NUR436L - Nurs of the Adult Practicum (Fall Term 2011)  2011
39,NUR436L - Nurs of the Adult Practicum (Fall Term 2011)  2011
40,NUR436L - Nurs of the Adult Practicum (Fall Term 2011)  2011
41,NUR436L - Nurs of the Adult Practicum (Fall Term 2011)  2011
42,NUR436L - Nurs of the Adult Practicum (Fall Term 2011)  2011
43,NUR436L - Nurs of the Adult Practicum (Fall Term 2011)  2011
44,NUR436L - Nurs of the Adult Practicum (Fall Term 2011)  2011
45,NUR436L - Nurs of the Adult Practicum (Fall Term 2011)  2011
46,NUR436L - Nurs of the Adult Practicum (Fall Term 2011)  2011
47,NUR436L - Nurs of the Adult Practicum (Fall Term 2011)  2011
48,NUR436L - Nurs of the Adult Practicum (Fall Term 2011)  2011
