,Investigator On
0,AIDS Clinical Trials Group: Protocol Funds  awarded by  Brigham and Women's Hospital
1,AIDS Clinical Trials Group: Protocol Funds FTE Funding  awarded by  Brigham and Women's Hospital
2,Alabama - Clinical Trials Unit  awarded by  National Institute of Allergy and Infectious Diseases/NIH/DHHS
3,Alabama Clinical Trials Unit (CTU)  awarded by  National Institute of Allergy and Infectious Diseases/NIH/DHHS
4,Effect of Low Dose Methotrexate on Endothelial Function and Inflammation in HIV - A5314  awarded by  Brigham and Women's Hospital
5,Private Grant  awarded by  Gilead Sciences ^
6,Private Grant  awarded by  Gilead Sciences ^
7,Private Grant  awarded by  GlaxoSmithKline
8,Private Grant  awarded by  GlaxoSmithKline
9,Private Grant  awarded by  Gilead Sciences ^
10,Private Grant  awarded by  Gilead Sciences ^
11,Private Grant  awarded by  Gilead Sciences ^
12,Private Grant  awarded by  Gilead Sciences ^
13,Private Grant  awarded by  Gilead Sciences ^
14,Private Grant  awarded by  GlaxoSmithKline
15,Private Grant  awarded by  Gilead Sciences ^
16,Private Grant  awarded by  Gilead Sciences ^
17,Private Grant  awarded by  Gilead Sciences ^
18,Private Grant  awarded by  ABBVIE INC
19,Private Grant  awarded by  Gilead Sciences ^
20,Private Grant  awarded by  Gilead Sciences ^
21,Private Grant  awarded by  ABBVIE INC
22,Private Grant  awarded by  Gilead Sciences ^
23,Private Grant  awarded by  Gilead Sciences ^
24,Private Grant  awarded by  Gilead Sciences ^
25,Private Grant  awarded by  BRISTOL MYERS SQUIBB PHARMACEUTICAL COMPANY
26,Private Grant  awarded by  Gilead Sciences ^
27,Private Grant  awarded by  GlaxoSmithKline
28,"Private Grant  awarded by  MERCK & COMPANY, INC. ^"
29,Private Grant  awarded by  MERCK SHARP & DOHME CORP
30,"Private Grant  awarded by  MERCK & COMPANY, INC. ^"
31,Private Grant  awarded by  GlaxoSmithKline
32,Private Grant  awarded by  Gilead Sciences ^
33,Private Grant  awarded by  Gilead Sciences ^
34,Private Grant  awarded by  Gilead Sciences ^
35,Private Grant  awarded by  Gilead Sciences ^
36,Private Grant  awarded by  VIIV HEALTHCARE COMPANY
37,Private Grant  awarded by  VIIV HEALTHCARE COMPANY
38,Private Grant  awarded by  VIIV HEALTHCARE COMPANY
