,Principal Investigator On
0,"A Prospective, Phase III, Open-Label Study of Boceprevir, Pegylated-Interforn Alfa 2b and Ribavirin in HCV/HIV Coinfected Subjects: Boceprevir, Interferon, Ribavirin to Treat HCV/HIV/Coinfected Subjects (BIRTH)  awarded by  SOCIAL & SCIENTIFIC SYSTEMS"
1,A5210.04-University of Alabama at Birmingham - VSL 54  awarded by  SOCIAL & SCIENTIFIC SYSTEMS
2,A5272/A5280 Supplemental Funds from Adult Clinical Trials Group  awarded by  Brigham and Women's Hospital
3,ACTG Protocol A5269 The Activity of Nitazoxanide in Addition to Peginterferon Alfa-2a and Ribavirin in Chronic Hepatitis C Treatment-Naïve Genotype 1 Subjects with HIV Coinfection  awarded by  SOCIAL & SCIENTIFIC SYSTEMS
4,Adult Clinical Trials Group Protocol #A5272 Supplemental Funds  awarded by  SOCIAL & SCIENTIFIC SYSTEMS
5,Adult Clinical Trials Group Protocol #A5277 Supplemental Funds  awarded by  SOCIAL & SCIENTIFIC SYSTEMS
6,Adult Clinical Trials Group Protocol #A5280 Supplemental Funds  awarded by  SOCIAL & SCIENTIFIC SYSTEMS
7,Adult Clinical Trials Group Protocol #A5303 Supplemental Funds  awarded by  SOCIAL & SCIENTIFIC SYSTEMS
8,Adult Clinical Trials Group Protocol#A5257 Supplemental Funds  awarded by  SOCIAL & SCIENTIFIC SYSTEMS
9,BRS-ACURE-S-12-000054-002502 ACTG 5801  awarded by  SOCIAL & SCIENTIFIC SYSTEMS
10,"Private Grant  awarded by  MERCK & COMPANY, INC. ^"
11,Virology Speciality Laboratory  awarded by  Brigham and Women's Hospital
12,Virology Specialty Laboratory  awarded by  SOCIAL & SCIENTIFIC SYSTEMS
