,Teaching Activities
0,NUR313L - Concepts Professional Nur Prac (Spring Term 2021)  2021
1,NUR313L - Concepts Professional Nur Prac (Spring Term 2021)  2021
2,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2021)  2021
3,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2021)  2021
4,NUR313L - Concepts Professional Nur Prac (Fall Term 2020)  2020
5,NUR313L - Concepts Professional Nur Prac (Fall Term 2020)  2020
6,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2020)  2020
7,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2020)  2020
8,NUR553L - Nursing Practicum Women/Child (Summer Term 2020)  2020
9,NUR313L - Concepts Professional Nur Prac (Spring Term 2020)  2020
10,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2020)  2020
11,NUR313L - Concepts Professional Nur Prac (Fall Term 2019)  2019
12,NUR313L - Concepts Professional Nur Prac (Fall Term 2019)  2019
13,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
14,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
15,NUR313L - Concepts Professional Nur Prac (Spring Term 2019)  2019
16,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2019)  2019
17,NUR313L - Concepts Professional Nur Prac (Fall Term 2018)  2018
18,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2018)  2018
19,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2018)  2018
