,Teaching Activities
0,NFH692L - Residency: Family Nurs Pract (Summer Term 2021)  2021
1,NFH692L - Residency: Family Nurs Pract (Summer Term 2021)  2021
2,NFH686L - Pract II: Family Nurse Pract (Spring Term 2021)  2021
3,NFH686L - Pract II: Family Nurse Pract (Spring Term 2021)  2021
4,NFH685L - Pract I: Family Nurse Pract (Fall Term 2020)  2020
5,NFH685L - Pract I: Family Nurse Pract (Fall Term 2020)  2020
6,NFH692L - Residency: Family Nurs Pract (Summer Term 2020)  2020
7,NFH686L - Pract II: Family Nurse Pract (Spring Term 2020)  2020
8,NFH686L - Pract II: Family Nurse Pract (Spring Term 2020)  2020
9,NFH685L - Pract I: Family Nurse Pract (Fall Term 2019)  2019
10,NFH685L - Pract I: Family Nurse Pract (Fall Term 2019)  2019
11,NFH692L - Residency: Family Nurs Pract (Summer Term 2019)  2019
12,NFH686L - Pract II: Family Nurse Pract (Spring Term 2019)  2019
13,NFH685L - Pract I: Family Nurse Pract (Fall Term 2018)  2018
14,NFH692L - Residency: Family Nurs Pract (Summer Term 2018)  2018
15,NFH686L - Pract II: Family Nurse Pract (Spring Term 2018)  2018
16,NFH685L - Pract I: Family Nurse Pract (Fall Term 2017)  2017
17,NFH692L - Residency: Family Nurs Pract (Summer Term 2017)  2017
18,NFH686L - Pract II: Family Nurse Pract (Spring Term 2017)  2017
19,NFH685L - Pract I: Family Nurse Pract (Fall Term 2016)  2016
20,NFH692L - Residency: Family Nurs Pract (Summer Term 2016)  2016
21,NUR004 - UAB Hospital Orientation (Summer Term 2016)  2016
22,NFH686L - Pract II: Family Nurse Pract (Spring Term 2016)  2016
23,NFH685L - Pract I: Family Nurse Pract (Fall Term 2015)  2015
24,NFH623 - Advanced Family Nursing III (Summer Term 2015)  2015
25,NFH622 - Family Nurse Practitioner II (Spring Term 2015)  2015
26,NFH685L - Pract I: Family Nurse Pract (Fall Term 2014)  2014
