,Teaching Activities
0,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2019)  2019
1,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2019)  2019
2,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2018)  2018
3,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2018)  2018
4,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2018)  2018
5,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2017)  2017
6,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2017)  2017
7,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2017)  2017
8,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2016)  2016
9,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2016)  2016
10,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2016)  2016
11,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2015)  2015
12,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2014)  2014
