,Teaching Activities
0,30-304TLC - LEADERSHIP IN COMMUNITY AND POPULATION MEDICINE (Spring Term 2021)  2021
1,30-304TLC - LEADERSHIP IN COMMUNITY AND POPULATION MEDICINE (Spring Term 2021)  2021
2,30-304TLC - LEADERSHIP IN COMMUNITY AND POPULATION MEDICINE (Fall Term 2020)  2020 - 2021
3,30-304TLC - LEADERSHIP IN COMMUNITY AND POPULATION MEDICINE (Fall Term 2020)  2020
4,30-304TLC - LEADERSHIP IN COMMUNITY AND POPULATION MEDICINE (Fall Term 2020)  2020
5,30-304TLC - LEADERSHIP IN COMMUNITY AND POPULATION MEDICINE (Fall Term 2019)  2019 - 2020
6,30-304TLC - LEADERSHIP IN COMMUNITY AND POPULATION MEDICINE (Spring Term 2019)  2019
7,30-304TLC - LEADERSHIP IN COMMUNITY AND POPULATION MEDICINE (Spring Term 2019)  2019
8,30-304TLC - LEADERSHIP IN COMMUNITY AND POPULATION MEDICINE (Spring Term 2019)  2019
9,30-304TLC - LEADERSHIP IN COMMUNITY AND POPULATION MEDICINE (Fall Term 2018)  2018 - 2019
10,30-302 - RURAL MEDICINE ACTING INTERNSHIP (Fall Term 2018)  2018
11,30-302 - RURAL MEDICINE ACTING INTERNSHIP (Fall Term 2018)  2018
12,30-304TLC - LEADERSHIP IN COMMUNITY AND POPULATION MEDICINE (Spring Term 2018)  2018
13,30-302 - RURAL MEDICINE ACTING INTERNSHIP (Fall Term 2018)  2018
14,30-302 - RURAL MEDICINE ACTING INTERNSHIP (Spring Term 2018)  2018
15,30-302 - RURAL MEDICINE ACTING INTERNSHIP (Spring Term 2018)  2018
16,30-304TLC - LEADERSHIP IN COMMUNITY AND POPULATION MEDICINE (Fall Term 2017)  2017 - 2018
17,30-302 - RURAL MEDICINE ACTING INTERNSHIP (Fall Term 2017)  2017
18,30-302 - RURAL MEDICINE ACTING INTERNSHIP (Fall Term 2017)  2017
19,30-302 - RURAL MEDICINE ACTING INTERNSHIP (Fall Term 2017)  2017
20,30-304TLC - LEADERSHIP IN COMMUNITY AND POPULATION MEDICINE (Spring Term 2017)  2017
21,30-302 - RURAL MEDICINE ACTING INTERNSHIP (Spring Term 2017)  2017
22,30-304TLC - DEVELOPING FUTURE CLINICAL AND COMMUNITY PHYSICIAN LEADERS (Fall Term 2016)  2016 - 2017
23,30-304TLC - LEADERSHIP IN COMMUNITY AND POPULATION MEDICINE (Fall Term 2016)  2016 - 2017
24,30-304TLC - DEVELOPING FUTURE CLINICAL AND COMMUNITY PHYSICIAN LEADERS (Fall Term 2016)  2016
25,30-304TLC - DEVELOPING FUTURE CLINICAL AND COMMUNITY PHYSICIAN LEADERS (Fall Term 2016)  2016
26,30-304TLC - DEVELOPING FUTURE CLINICAL AND COMMUNITY PHYSICIAN LEADERS (Fall Term 2016)  2016
27,30-302 - RURAL MEDICINE ACTING INTERNSHIP (Spring Term 2016)  2016
28,30-304TLC - DEVELOPING FUTURE CLINICAL AND COMMUNITY PHYSICIAN LEADERS (Spring Term 2016)  2016
29,30-302 - RURAL MEDICINE ACTING INTERNSHIP (Spring Term 2016)  2016
30,30-302 - RURAL MEDICINE ACTING INTERNSHIP (Spring Term 2016)  2016
31,30-302 - RURAL MEDICINE ACTING INTERNSHIP (Fall Term 2015)  2015
32,30-302 - RURAL MEDICINE ACTING INTERNSHIP (Fall Term 2015)  2015
33,30-302 - RURAL MEDICINE ACTING INTERNSHIP (Fall Term 2015)  2015
34,03-302 - RURAL MEDICINE CLERKSHIP (Fall Term 2012)  2012
35,03-302 - RURAL MEDICINE CLERKSHIP (Spring Term 2012)  2012
36,03-302 - RURAL MEDICINE CLERKSHIP (Spring Term 2012)  2012
37,03-302 - RURAL MEDICINE CLERKSHIP (Spring Term 2012)  2012
38,03-302 - RURAL MEDICINE CLERKSHIP (Fall Term 2011)  2011
39,03-302 - RURAL MEDICINE CLERKSHIP (Fall Term 2011)  2011
40,03-302 - RURAL MEDICINE CLERKSHIP (Fall Term 2011)  2011
41,03-302 - RURAL MEDICINE CLERKSHIP (Spring Term 2011)  2011
