,Awards And Honors
0,"Outstanding Work , 2018"
1,"Research Scholar , 2017"
2,"Scholarly Dissemination Award , 2016"
3,"Center Scholar , 2016"
4,"Roberts Scholar , 2016"
5,"Connecticut Holistic Association Prize , 2015"
6,"Excellence in Diversity Award , 2015"
7,"Roberts Scholar , 2015"
8,"Roberts Scholar , 2014"
9,"Excellence in Diversity Award , 2014"
10,"Graduate Student Assembly Award , 2014"
11,"McLeod-Blue-Skye Nursing Scholarship , 2014"
12,"Virginia McCorkle Scholarship , 2014"
13,"Doctoral Degree Scholarship in Cancer Nursing , 2014"
14,"""90 Nurses for 90 Years"" Award , 2013"
15,"McLeod-Blue-Skye Nursing Scholarship , 2013"
16,"Doctoral Degree Scholarship in Cancer Nursing , 2013"
17,"Susan G. Komen for the Cure Disparities Training Grant , 2013"
18,"Doctoral Degree Scholarship in Cancer Nursing , 2012"
19,"Susan G. Komen for the Cure Disparities Training Grant , 2012"
20,"Susan G. Komen for the Cure Disparities Training Grant , 2011"
21,"Lorraine G. Spranzo Scholarship , 2011"
22,"AACN/Johnson & Johnson Minority Nurse Faculty Scholarship , 2011"
23,"AACN/Johnson & Johnson Minority Nurse Faculty Scholarship , 2010"
24,"AACN/Johnson & Johnson Minority Nurse Faculty Scholarship , 2009"
25,"Sigma Theta Tau Rising Star of Scholarship and Research , 2009"
26,"Professional Nurse Trainee Scholarship , 2009"
27,"Yale School of Nursing Scholarship , 2009"
28,"Janssen Scholar , 2008"
29,"Sigma Theta Tau Induction , 2008"
30,"Professional Nurse Trainee Scholarship , 2008"
31,"Yale School of Nursing Scholarship , 2008"
32,"Professional Nurse Trainee Scholarship , 2007"
33,"Yale School of Nursing Scholarship , 2007"
34,"Yale School of Nursing Scholarship , 2006"
35,"Harvard Club of Delaware Scholarship , 2005"
36,"Louis and Ida Tatelman Award , 2005"
37,"Harvard Club of Delaware Scholarship , 1996"
