,Year,Title,Altmetric
0,2020,Should we be talking about guidelines with patients? A qualitative analysis in metastatic breast cancer. Breast Cancer Research and Treatment. 184:115-121.  2020  10.1007/s10549-020-05832-x,
1,2020,Trust but Verify: Exploring the Role of Treatment-Related Information and Patient-Physician Trust in Shared Decision Making Among Patients with Metastatic Breast Cancer. Journal of Cancer Education. 35:885-892.  2020  10.1007/s13187-019-01538-x,
2,2020,"""i'd Want to Know, because a Year's Not a Long Time to Prepare for a Death"": Role of Prognostic Information in Shared Decision Making among Women with Metastatic Breast Cancer. Journal of Palliative Medicine. 23:937-943.  2020  10.1089/jpm.2019.0457",
3,2019,Surrogates’ Perceptions of Service Quality While Making Decisions for ICU Patients. Western Journal of Nursing Research. 41:1370-1384.  2019  10.1177/0193945918820098,
4,2019,What Is Important When Making Treatment Decisions in Metastatic Breast Cancer? A Qualitative Analysis of Decision-Making in Patients and Oncologists  2019  10.1634/theoncologist.2018-0711,
5,2019,Lay navigation across the cancer continuum for older cancer survivors: Equally beneficial for Black and White survivors?. Journal of Geriatric Oncology. 10:779-786.  2019  10.1016/j.jgo.2018.10.013,
6,2019,Disparities in Hospice Utilization for Older Cancer Patients Living in the Deep South. Journal of Pain and Symptom Management. 58:86-91.  2019  10.1016/j.jpainsymman.2019.04.006,
7,2019,How family caregivers of persons with advanced cancer assist with upstream healthcare decision-making: A qualitative study. PLoS ONE. 14.  2019  10.1371/journal.pone.0212967,
8,2018,Factors Associated with Family Caregivers' Confidence in Future Surrogate Decision Making for Persons with Cancer. Journal of Palliative Medicine. 21:1705-1712.  2018  10.1089/jpm.2018.0148,
9,2018,Incongruence between women's survey- and interview-determined decision control preferences: A mixed methods study of decision-making in metastatic breast cancer  2018  10.1002/pon.4747,
10,2018,Mind-Body Interventions for Individuals With Heart Failure: A Systematic Review of Randomized Trials. Journal of Cardiac Failure. 24:186-201.  2018  10.1016/j.cardfail.2017.09.008,
11,2017,Mind-body interventions for individuals with heart failure: A systematic review of randomized trials. Journal of Cardiac Failure. 24:186-201.  2017  10.1016/j.cardfail.2017.09.008,
12,2016,Differences between women's preferred and actual experience with 'shared decision-making': A mixed method study. Journal of Clinical Oncology. 2016,
13,2016,“An addendum to breast cancer”: the triple negative experience. Supportive Care in Cancer. 24:3715-3721.  2016  10.1007/s00520-016-3184-4,
14,2015,"Biologic, demographic, and social factors affecting triple negative breast cancer outcomes. Clinical Journal of Oncology Nursing. 19:62-67.  2015  10.1188/15.CJON.62-67",
15,2014,The Practical Use of the Latest Standards of Electrocardiography (PULSE) Trial: Nursing-focused intervention improves nurses' knowledge and quality of ECG monitoring. Circulation. 2014,
16,2012,Exploration of women's experiences with triple-negative breast cancer  2012,
17,2011,Casual attribution among cancer survivors of the ten most common cancers. Journal of Psychosocial Oncology. 2011,
18,2011,Causal attribution among cancer survivors of the 10 most common cancers. Journal of Psychosocial Oncology. 29:121-140.  2011  10.1080/07347332.2010.548445,
19,2010,Unnecessary arrhythmia monitoring and underutilization of ischemia and QT interval monitoring in current clinical practice: Baseline results of the practical use of the latest standards for electrocardiography trial. Journal of Electrocardiology. 43:542-547.  2010  10.1016/j.jelectrocard.2010.07.018,
20,2010,Deficiencies in nurses' knowledge of electrocardiographic monitoring: Baseline results of the PULSE Trial. American Journal of Critical Care. 2010,
21,2010,Deficiencies in nurses' knowledge and substandard practice related to ECG monitoring: Baseline results of the PULSE Trial. European Journal of Cardiovascular Nursing. 2010,
22,2003,"""Openings""  2003",
23,1992,The role of women's movements in democratic transition: A case study of Brazil  1992,
